id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KFEWE9ANMVVCB8R95797JTV8,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:39:34.613816244Z,90,2026-01-20T23:39:34.613816244Z,true,2026-01-20T23:41:32.699520739Z,01KFEVMNAWK7WRWM1AMQZKX6SA,2026-01-20T23:39:34.613816244Z,0,2026-01-20T23:39:34.613816244Z,true,2026-01-20T23:41:32.012625717Z,choice,2026-01-20T23:39:34.613816244Z,01KFEWE8VTHQXWKT1AXEXQ666A,2026-01-20T23:39:34.613816244Z,true,2026-01-20T23:41:31.962705924Z,true,2026-01-20T23:41:32.044007924Z,01KFEWE9AFX5WEJCN8GK3D6RKX,2026-01-20T23:39:34.613816244Z
01KFEV996XNF1JCAH7G28MXDP1,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:19:22.077074226Z,30,2026-01-20T23:19:22.077074226Z,true,2026-01-20T23:20:14.97307442Z,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:19:22.077074226Z,1,2026-01-20T23:19:22.077074226Z,true,2026-01-20T23:20:13.553657646Z,result,2026-01-20T23:19:22.077074226Z,01KFEV992C5DA5CC9EBC041N3A,2026-01-20T23:19:22.077074226Z,true,2026-01-20T23:20:13.540047321Z,true,2026-01-20T23:20:13.566328045Z,01KFEV996GDYHGNFQDF3PPC6DR,2026-01-20T23:19:22.077074226Z
01KFEVH4F2X0WGP1MN9KX0Q4Z3,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:23:39.362602993Z,30,2026-01-20T23:23:39.362602993Z,true,2026-01-20T23:26:11.914731167Z,01KFEV37PYV9HETXX2PC055NBT,2026-01-20T23:23:39.362602993Z,1,2026-01-20T23:23:39.362602993Z,true,2026-01-20T23:26:00.716088787Z,result,2026-01-20T23:23:39.362602993Z,01KFEVH47TY8YTKZSSJDE27NRX,2026-01-20T23:23:39.362602993Z,true,2026-01-20T23:26:00.688479417Z,true,2026-01-20T23:26:00.739228763Z,01KFEVH4EYK57HWJ7YHCNPCKH3,2026-01-20T23:23:39.362602993Z
01KFEVRX01M5P0C2TP3ZXKJJ1Z,01KFEV37CWX6SQYA0RPR0C01MW,2026-01-20T23:27:53.857339359Z,30,2026-01-20T23:27:53.857339359Z,true,2026-01-20T23:29:29.904967732Z,01KFEV37DAAK9E08F076WKMM6J,2026-01-20T23:27:53.857339359Z,1,2026-01-20T23:27:53.857339359Z,true,2026-01-20T23:29:04.101036467Z,result,2026-01-20T23:27:53.857339359Z,01KFEVRWRV4PBTM59RGPB1MPCT,2026-01-20T23:27:53.857339359Z,true,2026-01-20T23:29:04.06475008Z,true,2026-01-20T23:29:04.124908064Z,01KFEVRWZVJKD5V6F3BP1FMKMH,2026-01-20T23:27:53.857339359Z
01KFEW9RX7W02WNR18C5BAQK9H,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:37:06.727849571Z,90,2026-01-20T23:37:06.727849571Z,true,2026-01-20T23:38:26.681094526Z,01KFEV38AJ2CFPYBQZ5JKK7PV4,2026-01-20T23:37:06.727849571Z,0,2026-01-20T23:37:06.727849571Z,true,2026-01-20T23:38:17.054458473Z,choice,2026-01-20T23:37:06.727849571Z,01KFEW9RSFEJJVTBV3T46PNXTC,2026-01-20T23:37:06.727849571Z,true,2026-01-20T23:38:17.004113879Z,true,2026-01-20T23:38:17.087813418Z,01KFEW9RX1EXM0JVY3FHBQW76T,2026-01-20T23:37:06.727849571Z
01KFEVH4BG1YXGW4459BBCP4SX,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:23:39.248675434Z,30,2026-01-20T23:23:39.248675434Z,true,2026-01-20T23:25:17.190103577Z,01KFEV37PYV9HETXX2PC055NBT,2026-01-20T23:23:39.248675434Z,1,2026-01-20T23:23:39.248675434Z,true,2026-01-20T23:25:12.631097801Z,result,2026-01-20T23:23:39.248675434Z,01KFEVH485B8R4J0M6DWQE7BKW,2026-01-20T23:23:39.248675434Z,true,2026-01-20T23:25:12.54958045Z,true,2026-01-20T23:25:12.647567136Z,01KFEVH4B00WHXGP6H6M6YGMKY,2026-01-20T23:23:39.248675434Z
01KFEVJNSEQEPSC5HXT8MW20GC,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:24:29.871737651Z,30,2026-01-20T23:24:29.871737651Z,true,2026-01-20T23:24:58.725292534Z,01KFEV378FNG971PBW7B2SPNC6,2026-01-20T23:24:29.871737651Z,1,2026-01-20T23:24:29.871737651Z,true,2026-01-20T23:24:39.006520877Z,result,2026-01-20T23:24:29.871737651Z,01KFEVJNQJE7J4E2J63H5S7H5Q,2026-01-20T23:24:29.871737651Z,true,2026-01-20T23:24:38.971369958Z,true,2026-01-20T23:24:39.023461645Z,01KFEVJNS81E32B7T5G44EPHGK,2026-01-20T23:24:29.871737651Z
01KFEW2KKCQZXSB8CF1YM0FVRM,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:33:11.916570677Z,30,2026-01-20T23:33:11.916570677Z,true,2026-01-20T23:36:10.937412197Z,01KFEV38H48T18ZRM15RETR33C,2026-01-20T23:33:11.916570677Z,1,2026-01-20T23:33:11.916570677Z,true,2026-01-20T23:36:09.644015029Z,result,2026-01-20T23:33:11.916570677Z,01KFEW2K65H61S2VCF5K0K6SB6,2026-01-20T23:33:11.916570677Z,true,2026-01-20T23:36:09.596091007Z,true,2026-01-20T23:36:09.667987918Z,01KFEW2KK22PDK9XX4KSY2HZ7S,2026-01-20T23:33:11.916570677Z
01KFEW2AANSKRX4C17SPCZD92R,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:33:02.421531215Z,90,2026-01-20T23:33:02.421531215Z,true,2026-01-20T23:35:41.813325047Z,01KFEV38AHTHHCNTDGHAJN0GXG,2026-01-20T23:33:02.421531215Z,0,2026-01-20T23:33:02.421531215Z,true,2026-01-20T23:35:38.63635737Z,choice,2026-01-20T23:33:02.421531215Z,01KFEW29YWMS8SG0HY124EQM4K,2026-01-20T23:33:02.421531215Z,true,2026-01-20T23:35:38.59965284Z,true,2026-01-20T23:35:38.659092389Z,01KFEW2AA5PCWPXNC72D3MZQPT,2026-01-20T23:33:02.421531215Z
01KFEVB8H69V4AYA6Z2V8S508B,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:26.918961492Z,90,2026-01-20T23:20:26.918961492Z,true,2026-01-20T23:21:13.19922031Z,01KFEV2C0CP35QE41ZMH45J8TZ,2026-01-20T23:20:26.918961492Z,0,2026-01-20T23:20:26.918961492Z,true,2026-01-20T23:20:27.996765352Z,choice,2026-01-20T23:20:26.918961492Z,01KFEVB8FPPEBGT93HPZRSG1EY,2026-01-20T23:20:26.918961492Z,true,2026-01-20T23:20:27.976268742Z,true,2026-01-20T23:20:28.008920079Z,01KFEVB8H143MWMVM68AGM47KE,2026-01-20T23:20:26.918961492Z
01KFEVB9XAQYASDT5W3MY3BKZS,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:28.330240539Z,90,2026-01-20T23:20:28.330240539Z,false,2026-01-20T23:20:28.330240539Z,01KFEV2C0BAXD2XBMY5020521J,2026-01-20T23:20:28.330240539Z,0,2026-01-20T23:20:28.330240539Z,,,choice,2026-01-20T23:20:28.330240539Z,01KFEVB9V0EKNPT9R65H688C9S,2026-01-20T23:20:28.330240539Z,false,2026-01-20T23:20:28.330240539Z,,,01KFEVB9X38ZRHEHGX6CDPTME9,2026-01-20T23:20:28.330240539Z
01KFEVS3870XFTNG76SVZ3KPQ6,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:28:00.2634318Z,30,2026-01-20T23:28:00.2634318Z,true,2026-01-20T23:29:41.040224523Z,01KFEV37PV76WD06T50QFKE80T,2026-01-20T23:28:00.2634318Z,1,2026-01-20T23:28:00.2634318Z,true,2026-01-20T23:29:36.353174289Z,result,2026-01-20T23:28:00.2634318Z,01KFEVS303VVTZ8PMG4AKVY3SX,2026-01-20T23:28:00.2634318Z,true,2026-01-20T23:29:36.324779327Z,true,2026-01-20T23:29:36.376159743Z,01KFEVS37WV7MFTNSCB1SQE4HC,2026-01-20T23:28:00.2634318Z
01KFEVBA2QZ1F3T2YZDA7S9EZX,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:28.503976092Z,30,2026-01-20T23:20:28.503976092Z,false,2026-01-20T23:20:28.503976092Z,01KFEV2C0BAXD2XBMY5020521J,2026-01-20T23:20:28.503976092Z,1,2026-01-20T23:20:28.503976092Z,,,result,2026-01-20T23:20:28.503976092Z,01KFEVB9TS9YDQGB97CRWNF1V9,2026-01-20T23:20:28.503976092Z,false,2026-01-20T23:20:28.503976092Z,,,01KFEVBA2K79Q7D9YP8BAH0NZE,2026-01-20T23:20:28.503976092Z
01KFEVPNQK8CGQ58HJX6RH5E4N,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:26:40.88376667Z,30,2026-01-20T23:26:40.88376667Z,true,2026-01-20T23:28:46.535824021Z,01KFEVMNB841AFDZFM4WSW4FTD,2026-01-20T23:26:40.88376667Z,1,2026-01-20T23:26:40.88376667Z,true,2026-01-20T23:28:41.83450155Z,result,2026-01-20T23:26:40.88376667Z,01KFEVPNGFQYEVQ3XPBR3QGGJZ,2026-01-20T23:26:40.88376667Z,true,2026-01-20T23:28:41.801809542Z,true,2026-01-20T23:28:41.856919045Z,01KFEVPNQABZG820X2A7PV4YRM,2026-01-20T23:26:40.88376667Z
