id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KFEVF1QPFHJRQAHKCB8DRQ6Y,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:22:31.03091467Z,true,2026-01-20T23:25:48.405464479Z,01KFEV378PDZP87HXSESW6BA01,2026-01-20T23:22:31.03091467Z,12,2026-01-20T23:22:31.03091467Z,12,2026-01-20T23:22:31.03091467Z,2,2026-01-20T23:22:31.345432121Z,true,2026-01-20T23:25:29.019145903Z
01KFEW3VNVZC3K3MEZH39VDAQA,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:33:52.955536358Z,true,2026-01-20T23:34:56.835363841Z,01KFEVMNBC23RB4D79KEQ4G0VS,2026-01-20T23:33:52.955536358Z,1,2026-01-20T23:33:52.955536358Z,1,2026-01-20T23:33:52.955536358Z,2,2026-01-20T23:33:53.052252455Z,true,2026-01-20T23:34:28.812779454Z
01KFEVB9TVJER4T93291QEBTYT,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:28.252010784Z,false,2026-01-20T23:20:28.252010784Z,01KFEV2C0BAXD2XBMY5020521J,2026-01-20T23:20:28.252010784Z,7,2026-01-20T23:20:28.252010784Z,7,2026-01-20T23:20:28.252010784Z,2,2026-01-20T23:20:28.426681429Z,false,2026-01-20T23:20:28.252010784Z
01KFEVB9TK169HP1PMH5JANXA8,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:28.243105265Z,false,2026-01-20T23:20:28.243105265Z,01KFEV2C0BAXD2XBMY5020521J,2026-01-20T23:20:28.243105265Z,11,2026-01-20T23:20:28.243105265Z,11,2026-01-20T23:20:28.243105265Z,2,2026-01-20T23:20:28.546500115Z,false,2026-01-20T23:20:28.243105265Z
01KFEVF1Q0DWKQS3BYN9S091RF,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:22:31.008900639Z,true,2026-01-20T23:23:13.25077281Z,01KFEV378PDZP87HXSESW6BA01,2026-01-20T23:22:31.008900639Z,1,2026-01-20T23:22:31.008900639Z,1,2026-01-20T23:22:31.008900639Z,2,2026-01-20T23:22:31.096776878Z,true,2026-01-20T23:22:55.320455697Z
01KFEWEZY0CVS9EZRWS47HB4GC,01KFEVMNF44NEM58ETFST7KTWM,2026-01-20T23:39:57.760649226Z,true,2026-01-20T23:43:24.180267096Z,01KFEVMNHFNDCGHX9QBBFN387E,2026-01-20T23:39:57.760649226Z,12,2026-01-20T23:39:57.760649226Z,12,2026-01-20T23:39:57.760649226Z,2,2026-01-20T23:39:58.440876276Z,true,2026-01-20T23:42:57.357073318Z
01KFEW29XSADA32QXA2MHBZPNA,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:33:02.009128442Z,true,2026-01-20T23:34:29.092771004Z,01KFEV38AHTHHCNTDGHAJN0GXG,2026-01-20T23:33:02.009128442Z,2,2026-01-20T23:33:02.009128442Z,2,2026-01-20T23:33:02.009128442Z,2,2026-01-20T23:33:02.219997832Z,true,2026-01-20T23:33:41.022352998Z
01KFEVGBCPPHTMKKS8W8BM1ZBN,01KFEV37CWX6SQYA0RPR0C01MW,2026-01-20T23:23:13.686857092Z,true,2026-01-20T23:24:42.399242371Z,01KFEV37DE991T271V0BRDHRJW,2026-01-20T23:23:13.686857092Z,3,2026-01-20T23:23:13.686857092Z,3,2026-01-20T23:23:13.686857092Z,2,2026-01-20T23:23:13.796358505Z,true,2026-01-20T23:24:34.233401299Z
01KFEVHAPJCMYFRQP2F7WT72WK,01KFEV384BJYC62Y0E6AQK09K8,2026-01-20T23:23:45.746988549Z,true,2026-01-20T23:25:18.065098197Z,01KFEV384Y33BFECW27AH8GSGD,2026-01-20T23:23:45.746988549Z,7,2026-01-20T23:23:45.746988549Z,7,2026-01-20T23:23:45.746988549Z,2,2026-01-20T23:23:45.922764762Z,true,2026-01-20T23:25:13.943891747Z
01KFEVJWRJ3VMZ6TKNKERXD4E2,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:24:37.01015538Z,true,2026-01-20T23:29:42.248716958Z,01KFEV38AJ2CFPYBQZ58NH0V5J,2026-01-20T23:24:37.01015538Z,10,2026-01-20T23:24:37.01015538Z,10,2026-01-20T23:24:37.01015538Z,2,2026-01-20T23:24:37.283084789Z,true,2026-01-20T23:29:36.531259057Z
