id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KFEVMNNQTH6Q6DMJG65NFGVF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:25:35.287365546Z,,,true,2026-01-20T23:25:35.352299508Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:25:35.287365546Z,running,2026-01-20T23:25:38.961411375Z
01KFEVMN9Q125N5N16W4WNYJXF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:25:34.903467757Z,,,true,2026-01-20T23:25:34.948119058Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:25:34.903467757Z,running,2026-01-20T23:25:38.031741357Z
01KFEVMNF44NEM58ETFST7KTWM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:25:35.0762243Z,,,true,2026-01-20T23:25:35.13846252Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:25:35.0762243Z,running,2026-01-20T23:30:54.368076355Z
01KFEV38GJVYY8P8B7QXSW6BTE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:16:04.754153284Z,all games finished,2026-01-20T23:50:08.279024633Z,true,2026-01-20T23:16:04.771575284Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:16:04.754153284Z,ended,2026-01-20T23:50:08.279024633Z
01KFEWMTCS5KE5XDFDDM0PYM2Q,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:43:08.697693311Z,,,true,2026-01-20T23:43:08.753429607Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:43:08.697693311Z,running,2026-01-20T23:43:14.556022904Z
01KFEV37CWX6SQYA0RPR0C01MW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:16:03.612381223Z,all games finished,2026-01-20T23:31:36.969468077Z,true,2026-01-20T23:16:03.628748817Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:16:03.612381223Z,ended,2026-01-20T23:31:36.969468077Z
01KFEV38A01XZ4DPRPFKRE96P8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:16:04.54511616Z,all games finished,2026-01-20T23:42:37.52293932Z,true,2026-01-20T23:16:04.560684118Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:16:04.54511616Z,ended,2026-01-20T23:42:37.52293932Z
01KFEV2BZFDRZBG3Y0249RG1TW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:15:35.535728304Z,all games finished,2026-01-20T23:23:54.314671709Z,true,2026-01-20T23:15:35.563283238Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:15:35.535728304Z,ended,2026-01-20T23:23:54.314671709Z
01KFEWMSQPDV8YZS1SMXHKG2QN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:43:08.022211083Z,,,true,2026-01-20T23:43:08.098520922Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:43:08.022211083Z,running,2026-01-20T23:43:19.56591515Z
01KFEV384BJYC62Y0E6AQK09K8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T23:16:04.363865333Z,all games finished,2026-01-20T23:40:58.198680165Z,true,2026-01-20T23:16:04.3904498Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T23:16:04.363865333Z,ended,2026-01-20T23:40:58.198680165Z
