id,batchID,batchIDLastChangedAt,costCorrect,costCorrectLastChangedAt,gameID,gameIDLastChangedAt,myGain,myGainLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KFEV9YQW545CGRVE81YTJ2DM,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:19:44.124848196Z,,,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:19:44.124848196Z,,,01KFEV46YBCF5X09FCFJF4VDEY,2026-01-20T23:19:44.124848196Z,01KFEV9923DJ5VCDJPCWV8F272,2026-01-20T23:19:44.124848196Z,01KFEV9944WW8FYX779HCGANJN,2026-01-20T23:19:44.124848196Z,true,2026-01-20T23:19:46.371126516Z
01KFEVH5E2TTSN865G728Z1RYP,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:23:40.354728442Z,,,01KFEV37PYV9HETXX2PC055NBT,2026-01-20T23:23:40.354728442Z,,,01KFEV9QWYR4DNTS4QCCENEARJ,2026-01-20T23:23:40.354728442Z,01KFEVH47JSXWXPCKZJ9NW3ZAE,2026-01-20T23:23:40.354728442Z,01KFEVH494FWTCC3KXKS15TP3F,2026-01-20T23:23:40.354728442Z,true,2026-01-20T23:23:47.802945111Z
01KFEVHY7A5J4ADNJA963HDSX9,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:24:05.738419231Z,,,01KFEV378PDZP87HXSESW6BA01,2026-01-20T23:24:05.738419231Z,,,01KFEV6V20FH8Q8TGZN4SVCF5R,2026-01-20T23:24:05.738419231Z,01KFEVF1PYG8S0P7M884KS249T,2026-01-20T23:24:05.738419231Z,01KFEVF1WVS3HN3TMYER2GVT7B,2026-01-20T23:24:05.738419231Z,true,2026-01-20T23:24:11.194894598Z
01KFEVJG4CK1ZECTRKQB833YRV,01KFEV37CWX6SQYA0RPR0C01MW,2026-01-20T23:24:24.07650817Z,,,01KFEV37DE991T271V0BRDHRJW,2026-01-20T23:24:24.07650817Z,,,01KFEVBZC2S6960QVT8J14HPMN,2026-01-20T23:24:24.07650817Z,01KFEVGBC8432HRA3509G2MMDT,2026-01-20T23:24:24.07650817Z,01KFEVGBEXDAEYC0SFWBNDEJMJ,2026-01-20T23:24:24.07650817Z,true,2026-01-20T23:24:30.903173598Z
01KFEVND4VSVJZWAYDVVH08CZZ,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:25:59.323359706Z,,,01KFEV378H0PY96RNMJTMM0E4X,2026-01-20T23:25:59.323359706Z,,,01KFEV8K48Q5MVC88J4XCQXRFY,2026-01-20T23:25:59.323359706Z,01KFEVFBCAGNBZPQ8S80FVD5F6,2026-01-20T23:25:59.323359706Z,01KFEVFBJM825RK5TAGDE0GGZX,2026-01-20T23:25:59.323359706Z,true,2026-01-20T23:26:03.668832154Z
01KFEW283ZJSJZ8C4K3D9JWKSD,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:33:00.159641707Z,,,01KFEV37Q0WSYAYKWHM2EXN0DN,2026-01-20T23:33:00.159641707Z,,,01KFEVWYACX0Z3X7HHHK5DSTDD,2026-01-20T23:33:00.159641707Z,01KFEW0G9D7HY4DT2F92JJP28V,2026-01-20T23:33:00.159641707Z,01KFEW0GFXV3D7Q3SSH69273Q1,2026-01-20T23:33:00.159641707Z,true,2026-01-20T23:33:01.311281913Z
01KFEVA10H04AHBB0DAPS9154B,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:19:46.449371942Z,,,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:19:46.449371942Z,,,01KFEV4APCG117QZ1ZVXNKCJFC,2026-01-20T23:19:46.449371942Z,01KFEV9922CCX65P8NS08ZA7AP,2026-01-20T23:19:46.449371942Z,01KFEV994VD7GN1HJTR3A7FKA5,2026-01-20T23:19:46.449371942Z,true,2026-01-20T23:19:47.478445839Z
01KFEVKV3NWNZ3ZKDE6E8BW46G,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:25:08.085545264Z,true,2026-01-20T23:25:18.910788719Z,01KFEV38AJ2CFPYBQZ58NH0V5J,2026-01-20T23:25:08.085545264Z,0,2026-01-20T23:25:17.6020122Z,01KFEVB815BQW2TQ29HHMDQ2FB,2026-01-20T23:25:08.085545264Z,01KFEVJWS4XRB4HTW161W2F47D,2026-01-20T23:25:08.085545264Z,01KFEVJWT5KCMT0JG5Y7V40M1E,2026-01-20T23:25:08.085545264Z,true,2026-01-20T23:25:21.929888419Z
01KFEVNRPZF4YNJZSCH17AYX2Y,01KFEV377XDCWB0CVW0E7ES8WB,2026-01-20T23:26:11.167063008Z,,,01KFEV378H0PY96RNMJTMM0E4X,2026-01-20T23:26:11.167063008Z,,,01KFEV8K48Q5MVC88J4XCQXRFY,2026-01-20T23:26:11.167063008Z,01KFEVFBCEAYV4KEWZF78ZTA1K,2026-01-20T23:26:11.167063008Z,01KFEVFBK7MTNKC9MEC5EF6HC7,2026-01-20T23:26:11.167063008Z,true,2026-01-20T23:26:15.94136759Z
01KFEWKEHFFDPKDB92Z3RH4MT5,01KFEV38A01XZ4DPRPFKRE96P8,2026-01-20T23:42:23.791093547Z,,,01KFEV38AGG0Y2K5R4FB90SKZX,2026-01-20T23:42:23.791093547Z,,,01KFEWAGFM06B6QMJF19QXPE10,2026-01-20T23:42:23.791093547Z,01KFEWKAKZA6T6FZQK6APKC6X7,2026-01-20T23:42:23.791093547Z,01KFEWKAS44PVQ1N4AD7J5MFAJ,2026-01-20T23:42:23.791093547Z,,
