id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KFEVSFDZMKHWRGFN16GXRS70,01KFEV37PBC6DGWCX0HT0QWYJR,2026-01-20T23:28:12.735141855Z,17,2026-01-20T23:28:15.426658287Z,D,2026-01-20T23:28:15.405924265Z,01KFEV37PYV9HETXX2PSGE1RKD,2026-01-20T23:28:12.735141855Z,01KFEVDMPGK2KG6CGRXX80WQ5A,2026-01-20T23:28:12.735141855Z,01KFEVKCMC5SWQG5B0D7EEAX5H,2026-01-20T23:28:12.735141855Z
01KFEVTFS1G3RXCGMD07BCFTCY,01KFEV37CWX6SQYA0RPR0C01MW,2026-01-20T23:28:45.857296381Z,19,2026-01-20T23:28:49.727135041Z,C,2026-01-20T23:28:49.701608394Z,01KFEV37DE991T271V0NJ5BY6K,2026-01-20T23:28:45.857296381Z,01KFEVD9ZATE7H5N364WWPAV31,2026-01-20T23:28:45.857296381Z,01KFEVJEJXVVFBH0FKDYNANHM0,2026-01-20T23:28:45.857296381Z
01KFEW70RD98M65B01Y05PYFE1,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:35:36.461056007Z,17,2026-01-20T23:35:38.337046237Z,D,2026-01-20T23:35:38.258344492Z,01KFEVMNBC23RB4D79KEQ4G0VS,2026-01-20T23:35:36.461056007Z,01KFEVXFAQE8X4YEWXW17GBY46,2026-01-20T23:35:36.461056007Z,01KFEW3VMGZD02ANKDCQP1JWVK,2026-01-20T23:35:36.461056007Z
01KFEWBCBMTD6A4CXPMWA6P5QT,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:37:59.412373408Z,10,2026-01-20T23:38:08.554729207Z,B,2026-01-20T23:38:04.651631044Z,01KFEV38H8T2V9428VC9T7MEBA,2026-01-20T23:37:59.412373408Z,01KFEW5105FT4T963R9Z6AZ67Y,2026-01-20T23:37:59.412373408Z,01KFEWB93MZQQNSF35K2S15HQV,2026-01-20T23:37:59.412373408Z
01KFEVAWWPFRJH401T4YRV9X4C,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:14.998977187Z,20,2026-01-20T23:20:16.240050487Z,B,2026-01-20T23:20:16.229009061Z,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:20:14.998977187Z,01KFEV46YBCF5X09FCFJF4VDEY,2026-01-20T23:20:14.998977187Z,01KFEV992DYNW9GKK2CP4DN9DZ,2026-01-20T23:20:14.998977187Z
01KFEVBM1Q7BAJCQQ3BT7TP0KW,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:20:38.711129493Z,20,2026-01-20T23:20:40.039786059Z,B,2026-01-20T23:20:39.771249302Z,01KFEV2C08ND9C9BYW8N2T146P,2026-01-20T23:20:38.711129493Z,01KFEV46YBCF5X09FCFJF4VDEY,2026-01-20T23:20:38.711129493Z,01KFEV992NF1BFY2J085XZ7GRZ,2026-01-20T23:20:38.711129493Z
01KFEVH1X6ZCT3ZYNZT4149EVY,01KFEV2BZFDRZBG3Y0249RG1TW,2026-01-20T23:23:36.742306858Z,20,2026-01-20T23:23:42.214600929Z,B,2026-01-20T23:23:39.465289775Z,01KFEV2C0CP35QE41ZMH45J8TZ,2026-01-20T23:23:36.742306858Z,01KFEV7TATT805MEJDGTCA5NFM,2026-01-20T23:23:36.742306858Z,01KFEVB8GASGJN0SSP4XXA8YGN,2026-01-20T23:23:36.742306858Z
01KFEVPQKGC4QA07TNJAS66QPY,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:26:42.800691488Z,0,2026-01-20T23:27:03.06717797Z,C,2026-01-20T23:26:55.8207706Z,01KFEVMNB841AFDZFM4WSW4FTD,2026-01-20T23:26:42.800691488Z,01KFEVC3J7JCZ73BZAKH9RH61D,2026-01-20T23:26:42.800691488Z,01KFEVPNF9X8183T19PW5K9TEJ,2026-01-20T23:26:42.800691488Z
01KFEWC184E9NJWJXZVJ9K35S5,01KFEV384BJYC62Y0E6AQK09K8,2026-01-20T23:38:20.80436593Z,0,2026-01-20T23:38:26.362061249Z,C,2026-01-20T23:38:26.33277013Z,01KFEV384Z68A1Z7ZGWS1GDSZK,2026-01-20T23:38:20.80436593Z,01KFEW47TNE510SG18TR5ZERFB,2026-01-20T23:38:20.80436593Z,01KFEW9NEZF4BDJ4D8H6JC57E0,2026-01-20T23:38:20.80436593Z
01KFEVR333YMFVKR88EEZ3WC6F,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:27:27.331780855Z,0,2026-01-20T23:27:41.418145878Z,C,2026-01-20T23:27:32.891911528Z,01KFEVMNB841AFDZFM4WSW4FTD,2026-01-20T23:27:27.331780855Z,01KFEVB2WK99SDZDFQAW6KYB9M,2026-01-20T23:27:27.331780855Z,01KFEVPNFZCX04WK3RJCDA9DSA,2026-01-20T23:27:27.331780855Z
01KFEWFT88QP29225R8QMCHAQ1,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:40:24.712468438Z,20,2026-01-20T23:40:26.067720689Z,A,2026-01-20T23:40:25.677890198Z,01KFEV38H8T2V9428VC9T7MEBA,2026-01-20T23:40:24.712468438Z,01KFEW5BKPC6PA6AD6TVFX3GTH,2026-01-20T23:40:24.712468438Z,01KFEWB97B5TCHMM11XXK0C3WP,2026-01-20T23:40:24.712468438Z
01KFEWGRT5Y1CEBHRPGMGSTHQF,01KFEVMN9Q125N5N16W4WNYJXF,2026-01-20T23:40:56.005240905Z,20,2026-01-20T23:40:57.888176107Z,B,2026-01-20T23:40:57.239275414Z,01KFEVMNAWK7WRWM1AMQZKX6SA,2026-01-20T23:40:56.005240905Z,01KFEW3YJBR4HT7BADWRSVJQV5,2026-01-20T23:40:56.005240905Z,01KFEWE8SPXSSWENNJV0BH3H3G,2026-01-20T23:40:56.005240905Z
01KFEW585B957Z23M41D72MR66,01KFEV38GJVYY8P8B7QXSW6BTE,2026-01-20T23:34:38.507809559Z,17,2026-01-20T23:34:57.018306793Z,D,2026-01-20T23:34:56.844272991Z,01KFEV38H48T18ZRM15RETR33C,2026-01-20T23:34:38.507809559Z,01KFEVVPVMNR90RS0DGAX989B7,2026-01-20T23:34:38.507809559Z,01KFEW2K56P3AGBJZAEKF6M147,2026-01-20T23:34:38.507809559Z
