"game_number","alt_purple","stable_orange","stable_purple","other"
"01KFEV378PDZP87HXSESW6BA01",0,0,0,1
"01KFEV378H0PY96RNMJFNCN7TE",0,0,0.5,0.5
"01KFEV2C0CP35QE41ZMH45J8TZ",0,0.25,0,0.75
"01KFEV378H0PY96RNMJTMM0E4X",0,0,1,0
"01KFEV378FNG971PBW7B2SPNC6",0,1,0,0
"01KFEV38H48T18ZRM15RETR33C",0.5,0,0.25,0.25
"01KFEVMNBC23RB4D79KEQ4G0VS",0,0,1,0
"01KFEV37DE991T271V0NJ5BY6K",0,0,0,1
"01KFEVMNAWK7WRWM1AMQZKX6SA",0,1,0,0
"01KFEV37DAAK9E08F076WKMM6J",0,0,0,1
"01KFEVMNB841AFDZFM4WSW4FTD",0,0,1,0
"01KFEVMNHFNDCGHX9QBBFN387E",0,0,0.75,0.25
"01KFEV37DE991T271V0BRDHRJW",0,0,0,1
"01KFEV37PYV9HETXX2PC055NBT",1,0,0,0
"01KFEV38AHTHHCNTDGHAJN0GXG",0,0,0,1
"01KFEV384Y33BFECW27AH8GSGD",0,0.25,0,0.75
"01KFEV38AJ2CFPYBQZ5JKK7PV4",0,0,0.75,0.25
"01KFEV2C08ND9C9BYW8N2T146P",0,1,0,0
"01KFEV37Q0WSYAYKWHM2EXN0DN",0.5,0,0,0.5
"01KFEV385166A8JYCZ9G4DMHRQ",0,0,0,1
"01KFEV38H8T2V9428VC9T7MEBA",0,0,0,1
"01KFEV37PYV9HETXX2PSGE1RKD",0,0,0,1
