id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01KFEFNH0Y48QB2SK64KNTZY65,01KFEDCAVEZK3QD8ZFC2PP83WE,2026-01-20T19:56:20.382157958Z,90,2026-01-20T19:56:20.382157958Z,true,2026-01-20T19:56:36.61165354Z,01KFEDCAVZJC7DD4AH1B24TEC6,2026-01-20T19:56:20.382157958Z,0,2026-01-20T19:56:20.382157958Z,true,2026-01-20T19:56:21.915989673Z,choice,2026-01-20T19:56:20.382157958Z,01KFEFNGXSPP5MWZ1XYRACJ3QZ,2026-01-20T19:56:20.382157958Z,true,2026-01-20T19:56:21.894062304Z,true,2026-01-20T19:56:21.941677953Z,01KFEFNH0SXXSRSSRKE2GKQ9RT,2026-01-20T19:56:20.382157958Z
01KFEJCQ1YR30340ZF57A5X97B,01KFEHAKWNS08RQENHQ36ND5GA,2026-01-20T20:43:57.374434102Z,30,2026-01-20T20:43:57.374434102Z,true,2026-01-20T20:44:41.669352082Z,01KFEHAKXZ2D55CPVCZM6D4RJ0,2026-01-20T20:43:57.374434102Z,1,2026-01-20T20:43:57.374434102Z,true,2026-01-20T20:44:11.627583414Z,result,2026-01-20T20:43:57.374434102Z,01KFEJCPTM47B5S63P0HH50EJF,2026-01-20T20:43:57.374434102Z,true,2026-01-20T20:44:11.569425821Z,true,2026-01-20T20:44:11.663869944Z,01KFEJCQ1FQP99S0Q9C1CPAH45,2026-01-20T20:43:57.374434102Z
01KFEDVKJ4KTS280Q8R1CTKRSG,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:24:42.43669949Z,90,2026-01-20T19:24:42.43669949Z,true,2026-01-20T19:26:59.006326733Z,01KFEDCC2JDADMPT5RVZQ93BA8,2026-01-20T19:24:42.43669949Z,0,2026-01-20T19:24:42.43669949Z,true,2026-01-20T19:26:56.86900778Z,choice,2026-01-20T19:24:42.43669949Z,01KFEDVKB92266ZBNTF1B55S8R,2026-01-20T19:24:42.43669949Z,true,2026-01-20T19:26:56.839885965Z,true,2026-01-20T19:26:56.877883391Z,01KFEDVKHV4GX2RSSYMZ7F8Q4P,2026-01-20T19:24:42.43669949Z
01KFEE9KTSNXRK3C444TXHT7MH,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:32:21.465174115Z,90,2026-01-20T19:32:21.465174115Z,true,2026-01-20T19:35:26.805039695Z,01KFEDCB15BD0TYD7H0V6YZGSZ,2026-01-20T19:32:21.465174115Z,0,2026-01-20T19:32:21.465174115Z,true,2026-01-20T19:35:21.488336676Z,choice,2026-01-20T19:32:21.465174115Z,01KFEE9KM7YKRRKPBFZ4AZGZ5E,2026-01-20T19:32:21.465174115Z,true,2026-01-20T19:35:21.469336604Z,true,2026-01-20T19:35:21.505615745Z,01KFEE9KTGDENYFDQM3QC0MXS7,2026-01-20T19:32:21.465174115Z
01KFEFE61SJ3FVY493HP7PZSFH,01KFEDCAVEZK3QD8ZFC2PP83WE,2026-01-20T19:52:19.769233284Z,90,2026-01-20T19:52:19.769233284Z,true,2026-01-20T19:54:43.293827844Z,01KFEDCAVXCN1BR0PV518R81QD,2026-01-20T19:52:19.769233284Z,0,2026-01-20T19:52:19.769233284Z,true,2026-01-20T19:54:40.487754732Z,choice,2026-01-20T19:52:19.769233284Z,01KFEFE5T3D0C05MG2YCP4H9DD,2026-01-20T19:52:19.769233284Z,true,2026-01-20T19:54:40.468499829Z,true,2026-01-20T19:54:40.504789188Z,01KFEFE61MWYD3AE9H014TDADY,2026-01-20T19:52:19.769233284Z
01KFEHZDDG9EEQ8R7XB9FV22AV,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:36:41.520696355Z,30,2026-01-20T20:36:41.520696355Z,true,2026-01-20T20:38:48.507919449Z,01KFEHA25QS717K28J0SK0Z44C,2026-01-20T20:36:41.520696355Z,1,2026-01-20T20:36:41.520696355Z,true,2026-01-20T20:38:36.869967317Z,result,2026-01-20T20:36:41.520696355Z,01KFEHZD8FGTPBV3WVWQVSS8MF,2026-01-20T20:36:41.520696355Z,true,2026-01-20T20:38:36.743608216Z,true,2026-01-20T20:38:36.901300813Z,01KFEHZDD6W19QK1R7YWNZ18M7,2026-01-20T20:36:41.520696355Z
01KFEE72TPW355E20ASMJ7KTDN,01KFEDCB7P38BTZ4ACVDP6P0XN,2026-01-20T19:30:58.518146939Z,90,2026-01-20T19:30:58.518146939Z,true,2026-01-20T19:33:13.613253224Z,01KFEDCB82NKQJQB7S8M7PN58J,2026-01-20T19:30:58.518146939Z,0,2026-01-20T19:30:58.518146939Z,true,2026-01-20T19:31:43.591682044Z,choice,2026-01-20T19:30:58.518146939Z,01KFEE72S8ADFBJMR6T0XG5RP7,2026-01-20T19:30:58.518146939Z,true,2026-01-20T19:31:43.556042767Z,true,2026-01-20T19:31:43.610628728Z,01KFEE72TGMN7F7N4SM1E2G09E,2026-01-20T19:30:58.518146939Z
01KFEERHTPMVJW22DKPT7E06FT,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:40:30.934161138Z,90,2026-01-20T19:40:30.934161138Z,true,2026-01-20T19:40:44.298791979Z,01KFEDCCHJADFRJT5F5VJ9ST9F,2026-01-20T19:40:30.934161138Z,0,2026-01-20T19:40:30.934161138Z,true,2026-01-20T19:40:32.343341012Z,choice,2026-01-20T19:40:30.934161138Z,01KFEERHRS73K41K3YZPWJHWZ2,2026-01-20T19:40:30.934161138Z,true,2026-01-20T19:40:32.318436179Z,true,2026-01-20T19:40:32.359101087Z,01KFEERHTG974WWQ292AJG8MTK,2026-01-20T19:40:30.934161138Z
01KFEHGCGN9BQ378A26B718KH8,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:28:29.077104313Z,30,2026-01-20T20:28:29.077104313Z,true,2026-01-20T20:30:17.411699095Z,01KFEHA1R32D8V3SKQA6BEDXA8,2026-01-20T20:28:29.077104313Z,1,2026-01-20T20:28:29.077104313Z,true,2026-01-20T20:30:13.793141039Z,result,2026-01-20T20:28:29.077104313Z,01KFEHGC8DRS36BNQKBWK85Q6W,2026-01-20T20:28:29.077104313Z,true,2026-01-20T20:30:13.767598476Z,true,2026-01-20T20:30:13.810790265Z,01KFEHGCG64EGTQV72B7PRQJ0G,2026-01-20T20:28:29.077104313Z
01KFEHHN3KSJ5S2Y9KSCRRDPFT,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:29:10.643654262Z,90,2026-01-20T20:29:10.643654262Z,true,2026-01-20T20:30:43.27410925Z,01KFEHA1ZNDEMMB0DK92YAW8BD,2026-01-20T20:29:10.643654262Z,0,2026-01-20T20:29:10.643654262Z,true,2026-01-20T20:30:40.453151456Z,choice,2026-01-20T20:29:10.643654262Z,01KFEHHMXAH9HKXAC2EX5WTMY4,2026-01-20T20:29:10.643654262Z,true,2026-01-20T20:30:40.420732594Z,true,2026-01-20T20:30:40.472866261Z,01KFEHHN3FCQT3WXQVYRBFC32T,2026-01-20T20:29:10.643654262Z
