id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt
01KFEJ8Z64WCE7XQNZTX1PHSWP,01KFEHAKK9QMW81MWT2FF1CSZA,2026-01-20T20:41:54.628526389Z,01KFEHAKM9HA0G83B6BNP2KSMS,2026-01-20T20:41:54.628526389Z,01KFEHYA46Y9WQMK0XZ5W2FA7V,2026-01-20T20:41:54.628526389Z
01KFEJW1REP2ZNKV70E2KK46BV,01KFEJ5E832Q64ZNG3ZKPXGHJ5,2026-01-20T20:52:19.855009968Z,01KFEJ5EA7VXFPKNKHCS7D0Y4Z,2026-01-20T20:52:19.855009968Z,01KFEJKEAF3XNAWTVE8VCNKJXS,2026-01-20T20:52:19.855009968Z
01KFEK0PWCGEX67RTJ4C7RKR9K,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:54:52.556529514Z,01KFEJ5C9822567XDA8A9QG0G3,2026-01-20T20:54:52.556529514Z,01KFEJRM0CNFF8YTKCA6JC16CE,2026-01-20T20:54:52.556529514Z
01KFEE2FAXRFTV3JPQWSM2YW9K,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:28:27.485534969Z,01KFEDCB197E7YMN5STVXKHS22,2026-01-20T19:28:27.485534969Z,01KFEDRBWHPV4A332ZXM2PZSR4,2026-01-20T19:28:27.485534969Z
01KFEE72QN88SKK3MZ4YTGXJE6,01KFEDCB7P38BTZ4ACVDP6P0XN,2026-01-20T19:30:58.421117282Z,01KFEDCB82NKQJQB7S8M7PN58J,2026-01-20T19:30:58.421117282Z,01KFEDRAM6ZY40VY98ZC4CSA73,2026-01-20T19:30:58.421117282Z
01KFEEHFRJCDX3125X8GC6E236,01KFEDCB7P38BTZ4ACVDP6P0XN,2026-01-20T19:36:39.442341197Z,01KFEDCB86CRTSSJ6JG7B2HS7E,2026-01-20T19:36:39.442341197Z,01KFEEAKQ26V230SQ8GVG5YN0S,2026-01-20T19:36:39.442341197Z
01KFEERHQWST0QM6556BTKP2RA,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:40:30.845012224Z,01KFEDCCHJADFRJT5F5VJ9ST9F,2026-01-20T19:40:30.845012224Z,01KFEEKE9WXRZWBRXYDQ5J10WV,2026-01-20T19:40:30.845012224Z
01KFEFNGWSJ32D9JRG1EZNA57H,01KFEDCAVEZK3QD8ZFC2PP83WE,2026-01-20T19:56:20.249665994Z,01KFEDCAVZJC7DD4AH1B24TEC6,2026-01-20T19:56:20.249665994Z,01KFEFG8GX8B9102EGAWCJ2ZB0,2026-01-20T19:56:20.249665994Z
01KFEJR9X0288A1VKEGRDGBXBK,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:50:17.120968864Z,01KFEJ5C9TA7ZE3V3TA0C9309P,2026-01-20T20:50:17.120968864Z,01KFEJDWT7HF2D6BRNBHS3X5TT,2026-01-20T20:50:17.120968864Z
01KFEHZ0C7M91EE881HKAJRSQA,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:36:28.167571741Z,01KFEHA1Z72TJ9J0QENR016CFN,2026-01-20T20:36:28.167571741Z,01KFEHMDY2YXCAA0WMRPTSEKC9,2026-01-20T20:36:28.167571741Z
01KFEJ3HKYFD6P22RTS5BJSEAV,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:38:56.894196886Z,01KFEHA25S6PYJD4DSX1VJG5FE,2026-01-20T20:38:56.894196886Z,01KFEHWFN7B5ZY9MX1Q0P1B17R,2026-01-20T20:38:56.894196886Z
01KFEJV6PNQ7CNZRF1ETDX6H0R,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:51:52.149431139Z,01KFEHAMB65F4EHHS2KPJ10RVS,2026-01-20T20:51:52.149431139Z,01KFEJQ43AZNCTHABZKM6DBV3R,2026-01-20T20:51:52.149431139Z
01KFEK9MB22GV8NEY179101DME,01KFEJ5CPJ5RGARFNN6Z0PCT4Q,2026-01-20T20:59:44.866270523Z,01KFEJ5CQQ00MKPGMA298B0BDM,2026-01-20T20:59:44.866270523Z,01KFEK73K44W3P90S9METDZ39A,2026-01-20T20:59:44.866270523Z
01KFEHHMT9EAJKQMTVWWVG7MBR,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:29:10.345211776Z,01KFEHA1ZNDEMMB0DK92YAW8BD,2026-01-20T20:29:10.345211776Z,01KFEHAFP87N0FEFRCAHH2V652,2026-01-20T20:29:10.345211776Z
01KFEHHMTD8C4YPVY2XTE165W6,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:29:10.349098333Z,01KFEHA1ZNDEMMB0DK92YAW8BD,2026-01-20T20:29:10.349098333Z,01KFEHEBSJCV2WCY6FBMMN65A3,2026-01-20T20:29:10.349098333Z
