id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KFEHAM4E8199449TR55KHGQP,,,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:25:20.270596434Z,false,2026-01-20T20:25:20.270596434Z,shared lobby timeout,2026-01-20T20:45:28.088651888Z,01KFEHAMA548KW694BPJ56H85B,2026-01-20T20:25:20.455541209Z,01KFEJ6ANG3SR2KE87A2P8JP01,2026-01-20T20:40:28.087194162Z,,,,,false,2026-01-20T20:25:20.270596434Z,,,failed,2026-01-20T20:45:28.088651888Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:25:20.270596434Z,CG_selfish,2026-01-20T20:25:20.270596434Z
01KFEJ5CS2BBW0C98ZJ5JAS2PG,2,2026-01-20T20:56:28.394387452Z,01KFEJ5CPJ5RGARFNN6Z0PCT4Q,2026-01-20T20:39:57.474419566Z,false,2026-01-20T20:39:57.474419566Z,,,01KFEJ5D22VSXEDBTQHK9E6Z0S,2026-01-20T20:39:57.766997579Z,01KFEK0X7PB8B967NPBXCGARFJ,2026-01-20T20:54:59.073912734Z,12,2026-01-20T20:56:28.576251257Z,01KFEK3N7QAS6PQ435SGZJXJRH,2026-01-20T20:59:07.346569519Z,true,2026-01-20T20:56:28.394387452Z,true,2026-01-20T20:56:28.394387452Z,running,2026-01-20T20:56:30.0925556Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:57.474419566Z,CG_selfish,2026-01-20T20:39:57.474419566Z
01KFEJ5DNSX5Y5MH73PBQYYZM3,,,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:39:58.393056084Z,false,2026-01-20T20:39:58.393056084Z,,,01KFEJ5DWYAFGRT554R5YJ2AMS,2026-01-20T20:39:58.627101549Z,,,,,,,false,2026-01-20T20:39:58.393056084Z,,,,,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:58.393056084Z,noCG_cooperate,2026-01-20T20:39:58.393056084Z
01KFEJ5DPRA3SJMDJ397B8T8C1,2,2026-01-20T20:59:29.747378293Z,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:39:58.424791702Z,false,2026-01-20T20:39:58.424791702Z,,,01KFEJ5E25NKPDENESVJMDK3MR,2026-01-20T20:39:58.794766711Z,01KFEK8V8PSTG8VA8BBVC7CTTD,2026-01-20T20:59:19.197770609Z,12,2026-01-20T20:59:29.908992131Z,01KFEK9692JHA0NB7K6TT1S8KT,2026-01-20T21:00:26.758021734Z,true,2026-01-20T20:59:29.747378293Z,true,2026-01-20T20:59:29.747378293Z,running,2026-01-20T20:59:31.483792352Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:58.424791702Z,CG_selfish,2026-01-20T20:39:58.424791702Z
01KFEJ5D6622PF5PX4G3KZTAZK,2,2026-01-20T20:51:17.929986315Z,01KFEJ5D47V2DPV4P7KW69CWA7,2026-01-20T20:39:57.894275494Z,true,2026-01-20T20:52:54.070627548Z,disconnected,2026-01-20T20:52:53.967480252Z,01KFEJ5DBN75W2G77GD9QPP4B8,2026-01-20T20:39:58.072559916Z,01KFEJSYZHX2G2FB4R36FXE199,2026-01-20T20:51:11.484836115Z,12,2026-01-20T20:51:18.060742779Z,null,2026-01-20T20:52:54.070627548Z,true,2026-01-20T20:51:17.929986315Z,true,2026-01-20T20:51:17.929986315Z,ended,2026-01-20T20:52:53.967480252Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:57.894275494Z,noCG_selfish,2026-01-20T20:39:57.894275494Z
01KFEJ5EAJ40EATTXX516KCMR1,,,01KFEJ5E832Q64ZNG3ZKPXGHJ5,2026-01-20T20:39:59.058553454Z,false,2026-01-20T20:39:59.058553454Z,,,01KFEJ5EKF0AS27SX0SQHK48EN,2026-01-20T20:39:59.347886383Z,01KFEKA425N45YKS05XD6DAT42,2026-01-20T21:00:00.977050233Z,,,,,false,2026-01-20T20:39:59.058553454Z,,,,,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T20:39:59.058553454Z,CG_selfish,2026-01-20T20:39:59.058553454Z
01KFEDC9FJ71R182N0TBJ82RHE,,,01KFEDC9EK94N2WNCHE5RRQHCJ,2026-01-20T19:16:20.594216759Z,false,2026-01-20T19:16:20.594216759Z,shared lobby timeout,2026-01-20T20:04:09.508730774Z,01KFEDC9J47MDHP7Q3N62WRWGG,2026-01-20T19:16:20.678581989Z,01KFEFTP5V9BJZJP7M8VXWJPZF,2026-01-20T19:59:09.505636712Z,,,,,false,2026-01-20T19:16:20.594216759Z,,,failed,2026-01-20T20:04:09.508730774Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T19:16:20.594216759Z,noCG_cooperate,2026-01-20T19:16:20.594216759Z
01KFEDCB139KMAVWQ3WS54614D,2,2026-01-20T19:27:24.067525658Z,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:16:22.179906509Z,true,2026-01-20T19:29:38.653962179Z,disconnected,2026-01-20T19:29:38.624034392Z,01KFEDCB28SE29HH8NDG837PA6,2026-01-20T19:16:22.219550322Z,01KFEDZ5JC2J7F82SY2RC7J4E8,2026-01-20T19:26:39.184220241Z,12,2026-01-20T19:27:24.109912803Z,null,2026-01-20T19:29:38.653962179Z,true,2026-01-20T19:27:24.067525658Z,true,2026-01-20T19:27:24.067525658Z,ended,2026-01-20T19:29:38.624034392Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}",2026-01-20T19:16:22.179906509Z,CG_selfish,2026-01-20T19:16:22.179906509Z
01KFEDCCR8T87CKC02CXTP1YJQ,,,01KFEDCCQHYNX4NRQZ9PZZ2SNP,2026-01-20T19:16:23.944939158Z,false,2026-01-20T19:16:23.944939158Z,batch ended,2026-01-20T19:35:40.241401553Z,01KFEDCCRV2NYMFR2065CBXPM2,2026-01-20T19:16:23.967918084Z,,,,,,,false,2026-01-20T19:16:23.944939158Z,,,terminated,2026-01-20T19:35:40.241401553Z,"{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T19:16:23.944939158Z,noCG_selfish,2026-01-20T19:16:23.944939158Z
01KFEHA1YZ8ZAAQFH3AAV34XZC,2,2026-01-20T20:32:51.306817014Z,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:25:01.663501852Z,true,2026-01-20T20:38:08.915914337Z,disconnected,2026-01-20T20:38:08.799259203Z,01KFEHA213T67WCHDY9BCAEGZH,2026-01-20T20:25:01.733768325Z,01KFEHQWJ26RS6T3FF0DX47AW1,2026-01-20T20:32:34.889059606Z,12,2026-01-20T20:32:51.360993379Z,null,2026-01-20T20:38:08.915914337Z,true,2026-01-20T20:32:51.306817014Z,true,2026-01-20T20:32:51.306817014Z,ended,2026-01-20T20:38:08.799259203Z,"{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2026-01-20T20:25:01.663501852Z,CG_cooperate,2026-01-20T20:25:01.663501852Z
