id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KFEHW1V1A4C3RCJRTAQJMKT4,01KFEHA1EJWPRPNCXBTHCF12K2,2026-01-20T20:34:51.361524192Z,0,2026-01-20T20:34:58.24502489Z,C,2026-01-20T20:34:58.18952802Z,01KFEHA1GPSKM8FTTA039GX2FE,2026-01-20T20:34:51.361524192Z,01KFEHHKNYNVTAQQFNDQ02SYYK,2026-01-20T20:34:51.361524192Z,01KFEHRJXZQZ099ENQ9A6Z0P2J,2026-01-20T20:34:51.361524192Z
01KFEJHKVW17FDRKBWRY196RJW,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:46:37.948120733Z,19,2026-01-20T20:46:41.993443538Z,C,2026-01-20T20:46:41.600884287Z,01KFEHAM3ZX2QFEZ4F28QFW79D,2026-01-20T20:46:37.948120733Z,01KFEJ9883X77HA7T3SDA1VF8F,2026-01-20T20:46:37.948120733Z,01KFEJDCRPH0RN87RW5MNRFHRZ,2026-01-20T20:46:37.948120733Z
01KFEJPVRBR8H9XJRRDPGHCH7N,01KFEHAKWNS08RQENHQ36ND5GA,2026-01-20T20:49:29.867909896Z,17,2026-01-20T20:50:40.064130475Z,D,2026-01-20T20:50:35.722647472Z,01KFEHAKXJ10EJRCGF487MPEAV,2026-01-20T20:49:29.867909896Z,01KFEJABGC6P623T7A5G0Q33VP,2026-01-20T20:49:29.867909896Z,01KFEJJPQ3DVN2CXNEB3N80MQB,2026-01-20T20:49:29.867909896Z
01KFEK3VNKKKPXT4MCJES0HNR2,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:56:35.763418398Z,0,2026-01-20T20:56:41.651997626Z,A,2026-01-20T20:56:41.593654925Z,01KFEJ5C8N149KF44PHZZN9T4C,2026-01-20T20:56:35.763418398Z,01KFEJY9418R2BQRPDT9220F8R,2026-01-20T20:56:35.763418398Z,01KFEK23TVQF8E0W37BR15C07X,2026-01-20T20:56:35.763418398Z
01KFEHMJWF9MY9EQKCMQG5W94W,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:30:46.671510657Z,29,2026-01-20T20:30:50.366952513Z,C,2026-01-20T20:30:47.973764592Z,01KFEHA1ZNDEMMB0DK92YAW8BD,2026-01-20T20:30:46.671510657Z,01KFEHEBSJCV2WCY6FBMMN65A3,2026-01-20T20:30:46.671510657Z,01KFEHHMXG414TME7DFAKZ9EBV,2026-01-20T20:30:46.671510657Z
01KFEHTA84C21825SY5SMXP1CF,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:33:54.436619715Z,10,2026-01-20T20:34:00.55385057Z,B,2026-01-20T20:34:00.520532264Z,01KFEHA1QDYX27N1S60Z95NKD9,2026-01-20T20:33:54.436619715Z,01KFEHF7572SXHJWAG2WR57G7K,2026-01-20T20:33:54.436619715Z,01KFEHQRZ92PNK16951YPNVEGB,2026-01-20T20:33:54.436619715Z
01KFEHJ4N2XWCZJS5NN9WZZ3NJ,01KFEDC9EK94N2WNCHE5RRQHCJ,2026-01-20T20:29:26.562519529Z,19,2026-01-20T20:29:36.276716792Z,C,2026-01-20T20:29:36.247621872Z,01KFEDC9FGZ2QQQ39YDAAVXSM4,2026-01-20T20:29:26.562519529Z,01KFEHDSTHHYXMQHJA6EK6PVQT,2026-01-20T20:29:26.562519529Z,01KFEHF2VBFF736KTCBZQQCSPN,2026-01-20T20:29:26.562519529Z
01KFEJMQNYECQ9KBBVH7WSNTBC,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:48:20.158181392Z,10,2026-01-20T20:48:59.244057149Z,B,2026-01-20T20:48:59.177711055Z,01KFEHAM4AZFDTAG8DR1VA4141,2026-01-20T20:48:20.158181392Z,01KFEJFMC7CFQF46Z46BV1EM1Q,2026-01-20T20:48:20.158181392Z,01KFEJMJY9XCRWZ7PJ7S4D56EB,2026-01-20T20:48:20.158181392Z
01KFEJR180NAC99P2HZ04Q6PB0,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:50:08.256657126Z,20,2026-01-20T20:50:22.81602275Z,A,2026-01-20T20:50:13.798270062Z,01KFEHAM4AZFDTAG8DR1VA4141,2026-01-20T20:50:08.256657126Z,01KFEJFMC7CFQF46Z46BV1EM1Q,2026-01-20T20:50:08.256657126Z,01KFEJMJNX26JZ305B8CHZDSCT,2026-01-20T20:50:08.256657126Z
01KFEJYQMCAKZEN56E0D1BGZ1P,01KFEJ5DKDD8ED3R70AXWWV7TA,2026-01-20T20:53:47.78824581Z,17,2026-01-20T20:53:50.301158009Z,D,2026-01-20T20:53:49.384631652Z,01KFEJ5DPFFD934S0E2GQ1B9RR,2026-01-20T20:53:47.78824581Z,01KFEJPRKV9117XEB7P0YJ5NT5,2026-01-20T20:53:47.78824581Z,01KFEJVCXHAW05XAG85BA7ZJ54,2026-01-20T20:53:47.78824581Z
01KFEK7J14F4J8BMNCP60DPSCR,01KFEJ5CPJ5RGARFNN6Z0PCT4Q,2026-01-20T20:58:36.964486894Z,19,2026-01-20T20:58:46.945199175Z,C,2026-01-20T20:58:41.07230029Z,01KFEJ5CR34Y85488XX0EC4SX7,2026-01-20T20:58:36.964486894Z,01KFEK2K0AVWKZA3NW4B793MSN,2026-01-20T20:58:36.964486894Z,01KFEK6E8YMN0PMWFR2RN6P6SA,2026-01-20T20:58:36.964486894Z
01KFEDYZREEFBBBC687R3QEVEK,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:26:33.230246261Z,29,2026-01-20T19:26:35.285733909Z,C,2026-01-20T19:26:35.247724346Z,01KFEDCC2JDADMPT5RVZQ93BA8,2026-01-20T19:26:33.230246261Z,01KFEDNRR64JDCJYA79FBRE8X8,2026-01-20T19:26:33.230246261Z,01KFEDVKB3W3YVYHTP0ZNB18XR,2026-01-20T19:26:33.230246261Z
01KFEEVVJFF67KHTDKVAQQZ953,01KFEDCCH0VMFH7P25F40PD43N,2026-01-20T19:42:19.21529679Z,17,2026-01-20T19:42:22.176065747Z,D,2026-01-20T19:42:20.797242827Z,01KFEDCCHJADFRJT5F5VJ9ST9F,2026-01-20T19:42:19.21529679Z,01KFEEJDGDWEMZQAHJH9Z7FVC3,2026-01-20T19:42:19.21529679Z,01KFEERHSRZB3Y9G2D4PTRHBTT,2026-01-20T19:42:19.21529679Z
01KFEJX96BMYNEN6VGFTKM5Y91,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:53:00.235975196Z,19,2026-01-20T20:53:07.572733803Z,C,2026-01-20T20:53:02.272920711Z,01KFEHAMB21FYRXZN71VHCADQA,2026-01-20T20:53:00.235975196Z,01KFEJA6ZV4RH275A9Q04XR97K,2026-01-20T20:53:00.235975196Z,01KFEJQTQCWFTB5C0YQ1884QY8,2026-01-20T20:53:00.235975196Z
01KFEEGEJWGC470G5G0K111HPF,01KFEDCB7P38BTZ4ACVDP6P0XN,2026-01-20T19:36:05.468682721Z,10,2026-01-20T19:36:10.885066434Z,A,2026-01-20T19:36:06.778176665Z,01KFEDCB85NRAF0XG25ABR62N5,2026-01-20T19:36:05.468682721Z,01KFEE7Q9A8CN1TS35QENG1JN7,2026-01-20T19:36:05.468682721Z,01KFEEC6Q6AEJTT87ZC67RFSSF,2026-01-20T19:36:05.468682721Z
01KFEHSNM09ST11NSZ1TG8TBPR,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:33:33.312073611Z,0,2026-01-20T20:33:38.359351085Z,D,2026-01-20T20:33:38.319115647Z,01KFEHA1QDYX27N1S60Z95NKD9,2026-01-20T20:33:33.312073611Z,01KFEHFDNYYM4VRPKVABD0N8W8,2026-01-20T20:33:33.312073611Z,01KFEHQRYTANCYVWF8E85N7MXM,2026-01-20T20:33:33.312073611Z
01KFEJ8R0VM91AD01G8HFCE69G,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:41:47.291154329Z,19,2026-01-20T20:42:00.201131984Z,C,2026-01-20T20:41:49.261241292Z,01KFEHA25S6PYJD4DSX1VJG5FE,2026-01-20T20:41:47.291154329Z,01KFEHKBVRWD07VXT4ZKHQQAA6,2026-01-20T20:41:47.291154329Z,01KFEJ3HR03D88K3E0A8S0SB8Q,2026-01-20T20:41:47.291154329Z
01KFEK2JTXZ12YMAV33WXQJ4GJ,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:55:53.94966679Z,0,2026-01-20T20:56:07.220773606Z,C,2026-01-20T20:56:07.127274282Z,01KFEJ5C9822567XDA8A9QG0G3,2026-01-20T20:55:53.94966679Z,01KFEJTATNKXCTW38TD0J18TFE,2026-01-20T20:55:53.94966679Z,01KFEK0Q25Y0BVXY2AEZR944FF,2026-01-20T20:55:53.94966679Z
01KFEE4RB71J6EG5PSEJ00EQKB,01KFEDCB0G5KS91T4MD9JTDSA4,2026-01-20T19:29:42.247217633Z,0,2026-01-20T19:29:44.908814047Z,C,2026-01-20T19:29:44.89739763Z,01KFEDCB197E7YMN5STVXKHS22,2026-01-20T19:29:42.247217633Z,01KFEDZFSW9KBCS8VJN8KBS8T4,2026-01-20T19:29:42.247217633Z,01KFEE2FC4VCPQJM9B8WWM8RSA,2026-01-20T19:29:42.247217633Z
01KFEJ0DZHCYHT9HDERNRSTQKE,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:37:14.865059262Z,0,2026-01-20T20:37:18.17049939Z,A,2026-01-20T20:37:17.582256609Z,01KFEHA1Z72TJ9J0QENR016CFN,2026-01-20T20:37:14.865059262Z,01KFEHMDY2YXCAA0WMRPTSEKC9,2026-01-20T20:37:14.865059262Z,01KFEHZ0F2X0N0JVN644QXP07A,2026-01-20T20:37:14.865059262Z
01KFEJ0DZAEJYDA4WSPN7REYY3,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:37:14.858326946Z,0,2026-01-20T20:37:18.17049939Z,A,2026-01-20T20:37:18.141727899Z,01KFEHA1Z72TJ9J0QENR016CFN,2026-01-20T20:37:14.858326946Z,01KFEHVQ5CHDKKYBKKZ5GXNMKV,2026-01-20T20:37:14.858326946Z,01KFEHZ0F2X0N0JVN644QXP07A,2026-01-20T20:37:14.858326946Z
01KFEJPVDKVAY0RDSHWNBKJTMR,01KFEHAM0SBSN9QYCK4NGJTWCC,2026-01-20T20:49:29.523232764Z,10,2026-01-20T20:49:52.367834133Z,A,2026-01-20T20:49:52.320276962Z,01KFEHAM4AZFDTAG8DR1VA4141,2026-01-20T20:49:29.523232764Z,01KFEJAS01H74KYS8N629S6DTN,2026-01-20T20:49:29.523232764Z,01KFEJMJXQJDQBZGTEJYJXP6BH,2026-01-20T20:49:29.523232764Z
01KFEFHVB4NG46R1H9TBZXGQC9,01KFEDCAVEZK3QD8ZFC2PP83WE,2026-01-20T19:54:19.876574291Z,29,2026-01-20T19:54:24.866737747Z,C,2026-01-20T19:54:24.839309619Z,01KFEDCAVXCN1BR0PV518R81QD,2026-01-20T19:54:19.876574291Z,01KFEFAMDQ915GZ68HPFMQXZ9N,2026-01-20T19:54:19.876574291Z,01KFEFE5TBNFV556820XW9T37K,2026-01-20T19:54:19.876574291Z
01KFEHMPST6BA7VEG6AQRRDGD3,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:30:50.682791348Z,0,2026-01-20T20:30:54.528617754Z,C,2026-01-20T20:30:54.512106267Z,01KFEHA1R32D8V3SKQA6BEDXA8,2026-01-20T20:30:50.682791348Z,01KFEHAKHNEWG0MCGFJGNXPB10,2026-01-20T20:30:50.682791348Z,01KFEHGC8ZMSQ0HSNRV9JMXR2W,2026-01-20T20:30:50.682791348Z
01KFEHSG73NQG960T7JVC4Q2GE,01KFEHA1MRJDJA6FNTED28Z8HF,2026-01-20T20:33:27.779909315Z,20,2026-01-20T20:33:39.441615027Z,B,2026-01-20T20:33:31.453993612Z,01KFEHA1QMX5DYGHPSSSP2RXXX,2026-01-20T20:33:27.779909315Z,01KFEHH299EZ808S0B86915EW8,2026-01-20T20:33:27.779909315Z,01KFEHR2ZN40B2VT9XZXB0FQ43,2026-01-20T20:33:27.779909315Z
01KFEJ10PCN74J0PXNMCDW4GVR,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:37:34.028896556Z,0,2026-01-20T20:37:43.027262089Z,B,2026-01-20T20:37:42.996132454Z,01KFEHA1ZSVYK8DGYZZSV53FQM,2026-01-20T20:37:34.028896556Z,01KFEHKWX6S3CRVA3YVBJBPSWT,2026-01-20T20:37:34.028896556Z,01KFEHWYVG2VXN87C17A1G5R00,2026-01-20T20:37:34.028896556Z
