id,batchID,batchIDLastChangedAt,bonus,bonusLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt
01KBT761T41ZVDRYJ7G7CQP9FG,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:10.56483589Z,10,2025-12-06T16:16:20.584386909Z,B,2025-12-06T16:16:20.571895482Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:10.56483589Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:16:10.56483589Z,01KBT760Y0B15RNQ60AR931TRH,2025-12-06T16:16:10.56483589Z
01KBT7BVG24RN05PD4RDBFQ6VT,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:19:20.706058644Z,,,A,2025-12-06T16:19:41.535488231Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:19:20.706058644Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:19:20.706058644Z,01KBT760Y7WKP7JCRK5XHC36ED,2025-12-06T16:19:20.706058644Z
01KBT8JD3JYKDPXS46NPG128F1,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.922537102Z,0,2025-12-06T16:41:31.341664255Z,C,2025-12-06T16:41:31.327973934Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.922537102Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:40:23.922537102Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:40:23.922537102Z
01KBT8QCQJNBQD7VE85KQYBQ8P,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:07.37889736Z,19,2025-12-06T16:43:12.3976423Z,D,2025-12-06T16:43:12.375221921Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:07.37889736Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:07.37889736Z,01KBT8JC56QPA0CY91YDPZ1HNB,2025-12-06T16:43:07.37889736Z
01KBT8RSZRRM8GC2SF66M2AFRH,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:53.720083671Z,22,2025-12-06T16:43:56.802918415Z,C,2025-12-06T16:43:56.786666369Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:53.720083671Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:53.720083671Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:43:53.720083671Z
01KBT8S3VWGT87KD65ZQWGYW04,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:03.836332109Z,22,2025-12-06T16:44:06.227840523Z,C,2025-12-06T16:44:06.217004293Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:03.836332109Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:03.836332109Z,01KBT8JC59WR4B2QH45SGD8YXW,2025-12-06T16:44:03.836332109Z
01KBT8ST3EH799DX0J6Z633M3A,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:26.606181627Z,22,2025-12-06T16:44:29.288823897Z,C,2025-12-06T16:44:29.277346908Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:26.606181627Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:26.606181627Z,01KBT8JC5BFMT46X1WT6KH4T9Q,2025-12-06T16:44:26.606181627Z
01KBT7ATFY18DW71688Q9ZXEW9,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:18:46.910086283Z,0,2025-12-06T16:19:00.627780933Z,C,2025-12-06T16:18:54.317637196Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:18:46.910086283Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:18:46.910086283Z,01KBT760Y4G0WHXA8QFP66KS1Z,2025-12-06T16:18:46.910086283Z
01KBT8NMFCQY9Y430ZK4KMGEEV,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:09.772645297Z,19,2025-12-06T16:42:17.808367214Z,D,2025-12-06T16:42:11.238518619Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:09.772645297Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:42:09.772645297Z,01KBT8JC537P7XSTXWVPC98DA6,2025-12-06T16:42:09.772645297Z
01KBT8P78M658W0QA20FDZWQM1,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:29.012551003Z,19,2025-12-06T16:42:33.938810108Z,D,2025-12-06T16:42:30.166179973Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:29.012551003Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:42:29.012551003Z,01KBT8JC54DTHF92S8VW79J64E,2025-12-06T16:42:29.012551003Z
01KBT8JD3K06X6S91DFXE3FAJ9,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.923217306Z,0,2025-12-06T16:41:31.341664255Z,C,2025-12-06T16:40:27.444421451Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.923217306Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:40:23.923217306Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:40:23.923217306Z
01KBT8PTY2DSC53F7MQ9Y6XXYQ,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:49.154572913Z,10,2025-12-06T16:42:55.48960202Z,B,2025-12-06T16:42:55.475510451Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:49.154572913Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:42:49.154572913Z,01KBT8JC5538T1GWHA2NJK49YW,2025-12-06T16:42:49.154572913Z
