id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KBT7PMHJQCWWJ5SZCAX9HAB2,,,01KBT7PMH220W9A3VFPS2BTQFB,2025-12-06T16:25:14.034807798Z,false,2025-12-06T16:25:14.034807798Z,batch ended,2025-12-06T16:30:34.236131862Z,01KBT7PMJCGZTGC2GFGN8JXNP8,2025-12-06T16:25:14.062314904Z,,,,,,,false,2025-12-06T16:25:14.034807798Z,,,terminated,2025-12-06T16:30:34.236131862Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-06T16:25:14.034807798Z,baseline,2025-12-06T16:25:14.034807798Z
01KBT6DT58TAK3JKTGCHT9YBRC,,,01KBT6DT4KHFBM16V8E8NNK8RF,2025-12-06T16:02:56.296331493Z,false,2025-12-06T16:02:56.296331493Z,batch ended,2025-12-06T16:14:30.661724997Z,01KBT6DT611TDDJSKYVCVW4AED,2025-12-06T16:02:56.324388828Z,,,,,,,false,2025-12-06T16:02:56.296331493Z,,,terminated,2025-12-06T16:14:30.661724997Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-06T16:02:56.296331493Z,baseline,2025-12-06T16:02:56.296331493Z
01KBT6DVGK35F3HGEG7HRCQ3XJ,2,2025-12-06T16:16:09.623560879Z,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:02:57.683574894Z,true,2025-12-06T16:19:41.562298245Z,disconnected,2025-12-06T16:19:41.533346086Z,01KBT6DVH9KTJXG3WA7B5914ZC,2025-12-06T16:02:57.708878721Z,01KBT6Y1467KPF6JW2R84MK17C,2025-12-06T16:11:47.72578248Z,12,2025-12-06T16:16:09.669303136Z,null,2025-12-06T16:19:41.562298245Z,true,2025-12-06T16:16:09.623560879Z,true,2025-12-06T16:16:09.623560879Z,ended,2025-12-06T16:19:41.533346086Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-06T16:02:57.683574894Z,baseline,2025-12-06T16:02:57.683574894Z
01KBT6DVP9YPDYW9EV5APH1E2K,,,01KBT6DVNWA7PYPEZMAY0QPQGR,2025-12-06T16:02:57.865180122Z,false,2025-12-06T16:02:57.865180122Z,shared lobby timeout,2025-12-06T16:12:41.194214263Z,01KBT6DVPWBDKWR2ST80ZMF79C,2025-12-06T16:02:57.886334853Z,01KBT6PGC10F4RMRJH7VTTXEPH,2025-12-06T16:07:41.191301858Z,,,,,false,2025-12-06T16:02:57.865180122Z,,,failed,2025-12-06T16:12:41.194214263Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-06T16:02:57.865180122Z,baseline,2025-12-06T16:02:57.865180122Z
01KBT77RTTJ1K1FK6KETJD29AX,2,2025-12-06T16:40:22.901020524Z,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:17:06.906787542Z,true,2025-12-06T16:44:42.117018644Z,end of game,2025-12-06T16:44:42.128100814Z,01KBT77RVFJG9ZMGFBG0GFHPTY,2025-12-06T16:17:06.929815166Z,01KBT89ZMJMHHGSMNVKGT5DPD9,2025-12-06T16:35:47.991718261Z,12,2025-12-06T16:40:22.956468353Z,null,2025-12-06T16:44:42.117018644Z,true,2025-12-06T16:40:22.901020524Z,true,2025-12-06T16:40:22.901020524Z,ended,2025-12-06T16:44:42.128100814Z,"{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}",2025-12-06T16:17:06.906787542Z,baseline,2025-12-06T16:17:06.906787542Z
