id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KBT6DVNWA7PYPEZMAY0QPQGR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-06T16:02:57.853022315Z,all games finished,2025-12-06T16:12:41.1986211Z,true,2025-12-06T16:02:57.867262713Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-06T16:02:57.853022315Z,ended,2025-12-06T16:12:41.1986211Z
01KBT77RTCP09Q4GFK4SZVTD56,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-06T16:17:06.892925229Z,all games finished,2025-12-06T16:44:42.135302958Z,true,2025-12-06T16:17:06.909202748Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-06T16:17:06.892925229Z,ended,2025-12-06T16:44:42.135302958Z
01KBT7PMH220W9A3VFPS2BTQFB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-06T16:25:14.01878037Z,,,true,2025-12-06T16:25:14.033950757Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-06T16:25:14.01878037Z,terminated,2025-12-06T16:30:34.231300327Z
01KBT6DT4KHFBM16V8E8NNK8RF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-06T16:02:56.276021195Z,,,true,2025-12-06T16:02:56.296941222Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-06T16:02:56.276021195Z,terminated,2025-12-06T16:14:30.657637448Z
01KBT6DVG6W62WD2XBFGRBAATQ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-06T16:02:57.670138972Z,all games finished,2025-12-06T16:19:41.549276843Z,true,2025-12-06T16:02:57.682824365Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-06T16:02:57.670138972Z,ended,2025-12-06T16:19:41.549276843Z
