id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,myCost,myCostLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01KBT8RX0QKYX8VMCS607V6W41,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:56.823518812Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:56.823518812Z,8,2025-12-06T16:44:02.306801207Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:56.823518812Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:43:56.823518812Z,01KBT8JCBHBQDYYHPEN6N6ZPM3,2025-12-06T16:43:56.823518812Z,true,2025-12-06T16:44:03.797308114Z
01KBT8SCF8SY4881VE3VHQ29PD,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:12.648667747Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:12.648667747Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:12.648667747Z,01KBT8JC5A87SMC7HJNAJ5Z1E8,2025-12-06T16:44:12.648667747Z,01KBT8JCCKXJQMWY45HQGAT9YD,2025-12-06T16:44:12.648667747Z,true,2025-12-06T16:44:18.827511595Z
01KBT7B7X397BB694DM4CXG3GX,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:19:00.643974682Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:19:00.643974682Z,30,2025-12-06T16:19:07.530157855Z,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:19:00.643974682Z,01KBT760Y4G0WHXA8QFP66KS1Z,2025-12-06T16:19:00.643974682Z,01KBT7610KQ5292P7Q9H4Z30GM,2025-12-06T16:19:00.643974682Z,true,2025-12-06T16:19:09.073028286Z
01KBT8JD4BY66XW3FBD6ZSCP9A,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:23.947109207Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:23.947109207Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:40:23.947109207Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:40:23.947109207Z,01KBT8JC69523A0PTAZS48W84P,2025-12-06T16:40:23.947109207Z,true,2025-12-06T16:40:27.453899628Z
01KBT8MEZAXAZ2MSFSP2J84SQB,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:31.370168368Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:31.370168368Z,30,2025-12-06T16:41:39.071421145Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:41:31.370168368Z,01KBT8JC50PPEYW5YGKMAJZSGS,2025-12-06T16:41:31.370168368Z,01KBT8JC69523A0PTB0H90DEPX,2025-12-06T16:41:31.370168368Z,true,2025-12-06T16:41:42.230307767Z
01KBT8NWB4071EH6CPVFFB8D52,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:17.828111077Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:17.828111077Z,20,2025-12-06T16:42:27.216535646Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:42:17.828111077Z,01KBT8JC537P7XSTXWVPC98DA6,2025-12-06T16:42:17.828111077Z,01KBT8JC78XQK2464PWH5FSNPA,2025-12-06T16:42:17.828111077Z,true,2025-12-06T16:42:28.966491227Z
01KBT8P79PR4HX03FA11KC47F8,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:29.046440703Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:29.046440703Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:42:29.046440703Z,01KBT8JC54DTHF92S8VW79J64E,2025-12-06T16:42:29.046440703Z,01KBT8JC82145R0G3HFNJGPHM2,2025-12-06T16:42:29.046440703Z,true,2025-12-06T16:42:30.175616541Z
01KBT8SWQWAESKXW5PX3N3GS2P,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:29.308876558Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:29.308876558Z,1,2025-12-06T16:44:30.529892116Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:29.308876558Z,01KBT8JC5BFMT46X1WT6KH4T9Q,2025-12-06T16:44:29.308876558Z,01KBT8JCCZSN18QW3K89QATVT6,2025-12-06T16:44:29.308876558Z,true,2025-12-06T16:44:31.777635478Z
01KBT8T23KXZ37C4B2EHVFJP1X,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:34.803757184Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:34.803757184Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:34.803757184Z,01KBT8JC5D3RTVXQJX8RH8JFKQ,2025-12-06T16:44:34.803757184Z,01KBT8JCDBQCBG1S1BYHXB2CM8,2025-12-06T16:44:34.803757184Z,true,2025-12-06T16:44:36.864590274Z
01KBT76Z7FG8G3BP8ASM1FBK6K,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:40.687561105Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:40.687561105Z,,,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:16:40.687561105Z,01KBT760Y3XKT1HN7YMVMVR1NR,2025-12-06T16:16:40.687561105Z,01KBT760ZM7F6TZ3MYGHG12PW4,2025-12-06T16:16:40.687561105Z,true,2025-12-06T16:16:47.079811839Z
01KBT8R50FZAVS0QKE9ESJFS8J,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:32.239810098Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:32.239810098Z,18,2025-12-06T16:43:37.397394019Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:32.239810098Z,01KBT8JC57QP16MSB0CYJ7G31C,2025-12-06T16:43:32.239810098Z,01KBT8JCAHXCE7ZH56AA3SPN7Y,2025-12-06T16:43:32.239810098Z,true,2025-12-06T16:43:39.55724254Z
01KBT8RT0NK0E084R9SR6T8WDH,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:53.749052971Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:53.749052971Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:53.749052971Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:43:53.749052971Z,01KBT8JCBHBQDYYHPEMRWS8FXH,2025-12-06T16:43:53.749052971Z,true,2025-12-06T16:43:56.78753965Z
01KBT8S3X61CXBCHD287FM4601,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:03.878784012Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:03.878784012Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:44:03.878784012Z,01KBT8JC59WR4B2QH45SGD8YXW,2025-12-06T16:44:03.878784012Z,01KBT8JCC3N8TVEKNARVWB3799,2025-12-06T16:44:03.878784012Z,true,2025-12-06T16:44:05.080149118Z
01KBT8SJH9KQ72SQ6KG6ZSKC0H,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:18.858006116Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:18.858006116Z,8,2025-12-06T16:44:24.562176904Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:18.858006116Z,01KBT8JC5A87SMC7HJNAJ5Z1E8,2025-12-06T16:44:18.858006116Z,01KBT8JCCKXJQMWY45JEZDEFVZ,2025-12-06T16:44:18.858006116Z,true,2025-12-06T16:44:26.56269918Z
01KBT8N2K48935Y57CNRR1BXBQ,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:51.460611467Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:51.460611467Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:41:51.460611467Z,01KBT8JC52TN0BGQJ72TB7R76K,2025-12-06T16:41:51.460611467Z,01KBT8JC6SJ8D377T3CDEN7CMJ,2025-12-06T16:41:51.460611467Z,true,2025-12-06T16:41:58.947455502Z
01KBT8RCPZGPG548EAZPHKF36Y,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:40.127370021Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:40.127370021Z,,,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:43:40.127370021Z,01KBT8JC57QP16MSB0DDP76DTA,2025-12-06T16:43:40.127370021Z,01KBT8JCB3CV7979SK183HC968,2025-12-06T16:43:40.127370021Z,true,2025-12-06T16:43:42.63173176Z
01KBT8SWQWAESKXW5PWVDJ5VM3,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:44:29.308177069Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:44:29.308177069Z,8,2025-12-06T16:44:33.616998926Z,01KBT7ZN02ZZMGF2FCF272HTQW,2025-12-06T16:44:29.308177069Z,01KBT8JC5BFMT46X1WT6KH4T9Q,2025-12-06T16:44:29.308177069Z,01KBT8JCCZSN18QW3K89QATVT6,2025-12-06T16:44:29.308177069Z,true,2025-12-06T16:44:34.736449228Z
01KBT8NMG59QBT1MR446323DYR,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:42:09.797818455Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:42:09.797818455Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:42:09.797818455Z,01KBT8JC537P7XSTXWVPC98DA6,2025-12-06T16:42:09.797818455Z,01KBT8JC771KVBG1B0NENMPZWN,2025-12-06T16:42:09.797818455Z,true,2025-12-06T16:42:11.247837728Z
01KBT8RT0JR2D6YSZZCDFRZD52,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:53.74625226Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:53.74625226Z,,,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:53.74625226Z,01KBT8JC58NYCXZCWG2RR5PA9R,2025-12-06T16:43:53.74625226Z,01KBT8JCBHBQDYYHPEMRWS8FXH,2025-12-06T16:43:53.74625226Z,true,2025-12-06T16:43:54.808587466Z
01KBT77S3M1N6HC4TWAWQF3W3Z,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:17:07.188459658Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:17:07.188459658Z,,,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:17:07.188459658Z,01KBT760Y3XKT1HN7YNBM7EW58,2025-12-06T16:17:07.188459658Z,01KBT76106RNFWA3779ZB2XQA3,2025-12-06T16:17:07.188459658Z,true,2025-12-06T16:17:09.834888585Z
01KBT7AE10S6Z2GGY8JWSX07TC,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:18:34.14412031Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:18:34.14412031Z,0,2025-12-06T16:18:40.93779858Z,01KBT6PMKC0S215V56B18R79KJ,2025-12-06T16:18:34.14412031Z,01KBT760Y3XKT1HN7YNBM7EW58,2025-12-06T16:18:34.14412031Z,01KBT76106RNFWA377APJK6DXY,2025-12-06T16:18:34.14412031Z,true,2025-12-06T16:18:41.648209999Z
01KBT7AE124SXCHFY4HCWWFC6W,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:18:34.146293492Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:18:34.146293492Z,10,2025-12-06T16:18:45.572114586Z,01KBT734QBSSKVCT6FY8H827M7,2025-12-06T16:18:34.146293492Z,01KBT760Y3XKT1HN7YNBM7EW58,2025-12-06T16:18:34.146293492Z,01KBT76106RNFWA377APJK6DXY,2025-12-06T16:18:34.146293492Z,true,2025-12-06T16:18:46.864242309Z
01KBT8N9Y638D5WWG80HAN3X7S,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:41:58.98249578Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:41:58.98249578Z,10,2025-12-06T16:42:04.643164805Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:41:58.98249578Z,01KBT8JC52TN0BGQJ72TB7R76K,2025-12-06T16:41:58.98249578Z,01KBT8JC6SJ8D377T3D7HJ7XKJ,2025-12-06T16:41:58.98249578Z,true,2025-12-06T16:42:09.021196752Z
01KBT8R50GSPGDKD5W3GT4Z9HK,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:43:32.240456527Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:43:32.240456527Z,20,2025-12-06T16:43:37.791470267Z,01KBT8DK3RD8MB7BC1EQMHCNAK,2025-12-06T16:43:32.240456527Z,01KBT8JC57QP16MSB0CYJ7G31C,2025-12-06T16:43:32.240456527Z,01KBT8JCAHXCE7ZH56AA3SPN7Y,2025-12-06T16:43:32.240456527Z,true,2025-12-06T16:43:40.053624354Z
