id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KFEHA1EJWPRPNCXBTHCF12K2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T20:25:01.138866289Z,all games finished,2026-01-20T20:37:02.572716067Z,true,2026-01-20T20:25:01.200796413Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T20:25:01.138866289Z,ended,2026-01-20T20:37:02.572716067Z
01KFEKHPC1MSE3FJ7DBY2FGY2F,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:04:09.089356813Z,all games finished,2026-01-20T21:24:41.524102199Z,true,2026-01-20T21:04:15.990545381Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:04:09.089356813Z,ended,2026-01-20T21:24:41.524102199Z
01KFEKHPGYTA3NV92JW708KDS3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:04:09.246556142Z,all games finished,2026-01-20T21:29:49.059216121Z,true,2026-01-20T21:04:16.449701814Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:04:09.246556142Z,ended,2026-01-20T21:29:49.059216121Z
01KFEKHPXA861Q1DG96X1DM2E6,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:04:09.642898378Z,all games finished,2026-01-20T21:37:45.363562454Z,true,2026-01-20T21:04:17.490236674Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:04:09.642898378Z,ended,2026-01-20T21:37:45.363562454Z
01KFEKP8Q074SQPRS20YJEHHNT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:06:38.944288891Z,,,true,2026-01-20T21:06:39.739991171Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:06:38.944288891Z,running,2026-01-20T21:06:51.76237447Z
01KFEMKFJ0DS96JFVBDWGQKE1B,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:22:36.224364758Z,,,true,2026-01-20T21:22:47.581259078Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:22:36.224364758Z,running,2026-01-20T21:22:46.510973562Z
01KFEMKFT1H7SYGZMVPDJJCF0A,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T21:22:36.481798937Z,,,true,2026-01-20T21:22:48.906720969Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T21:22:36.481798937Z,running,2026-01-20T21:22:40.399771679Z
01KFEDCB0G5KS91T4MD9JTDSA4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:22.160775908Z,all games finished,2026-01-20T19:36:11.155267307Z,true,2026-01-20T19:16:22.178027539Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:22.160775908Z,ended,2026-01-20T19:36:11.155267307Z
01KFEDCB7P38BTZ4ACVDP6P0XN,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:22.390684307Z,all games finished,2026-01-20T19:38:10.899005824Z,true,2026-01-20T19:16:22.40473434Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:22.390684307Z,ended,2026-01-20T19:38:10.899005824Z
01KFEDCC1ZHDDN3CP9JWF4PGTF,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""CG_cooperate"",""desc"":""CG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_cooperate"",""desc"":""noCG_cooperate"",""factors"":{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""CG_selfish"",""desc"":""CG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}},""count"":1},{""treatment"":{""name"":""noCG_selfish"",""desc"":""noCG_selfish"",""factors"":{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2026-01-20T19:16:23.231447761Z,all games finished,2026-01-20T19:29:26.276964482Z,true,2026-01-20T19:16:23.248741574Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-01-20T19:16:23.231447761Z,ended,2026-01-20T19:29:26.276964482Z
