id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KFEJFFZRWW8EQNC8ZKW6ZZM4,01KFEHAM72H3ZNN8G0T2BCT79K,2026-01-20T20:45:28.440192989Z,false,2026-01-20T20:45:28.440192989Z,01KFEHAMBA8MCT3G2N9WQDMPVA,2026-01-20T20:45:28.440192989Z,10,2026-01-20T20:45:28.440192989Z,10,2026-01-20T20:45:28.440192989Z,2,2026-01-20T20:45:29.219784607Z,false,2026-01-20T20:45:28.440192989Z
01KFEK23WZJQ1BGWXXF4PNFZ5S,01KFEJ5C7H3Z5SGPPT0TCGAEB2,2026-01-20T20:55:38.655985151Z,false,2026-01-20T20:55:38.655985151Z,01KFEJ5C8N149KF44PHZZN9T4C,2026-01-20T20:55:38.655985151Z,7,2026-01-20T20:55:38.655985151Z,7,2026-01-20T20:55:38.655985151Z,2,2026-01-20T20:55:39.492673134Z,false,2026-01-20T20:55:38.655985151Z
01KFEKMDJQYQEPG2ZCVMXNPDMZ,01KFEJ5E832Q64ZNG3ZKPXGHJ5,2026-01-20T21:05:38.391114881Z,true,2026-01-20T21:08:09.346787619Z,01KFEJ5E9BF1S7ZWGC98397B4G,2026-01-20T21:05:38.391114881Z,4,2026-01-20T21:05:38.391114881Z,4,2026-01-20T21:05:38.391114881Z,2,2026-01-20T21:05:39.438609551Z,true,2026-01-20T21:07:32.424608267Z
01KFEMVWA9STZFK1XBW08Q0N45,01KFEKHQ6RN01KDJ4QSDZAWPPS,2026-01-20T21:27:11.433974401Z,true,2026-01-20T21:29:07.131986313Z,01KFEKHZBEEPDRHKRQPWCS3SGH,2026-01-20T21:27:11.433974401Z,1,2026-01-20T21:27:11.433974401Z,1,2026-01-20T21:27:11.433974401Z,2,2026-01-20T21:27:12.658727087Z,true,2026-01-20T21:28:40.917369844Z
01KFEDVKAN6FSSWD263NEWHVWT,01KFEDCC1ZHDDN3CP9JWF4PGTF,2026-01-20T19:24:42.197976919Z,true,2026-01-20T19:25:19.209279976Z,01KFEDCC2JDADMPT5RVZQ93BA8,2026-01-20T19:24:42.197976919Z,0,2026-01-20T19:24:42.197976919Z,0,2026-01-20T19:24:42.197976919Z,2,2026-01-20T19:24:42.238772477Z,true,2026-01-20T19:24:42.625584467Z
01KFEEV7VSJGB07FWYYBKRZ5R3,01KFEDCCAW3ZY6KSKNHTKZ971F,2026-01-20T19:41:59.033675693Z,true,2026-01-20T19:44:34.760688722Z,01KFEDCCBE716PRHN8Q6NQV6ZT,2026-01-20T19:41:59.033675693Z,11,2026-01-20T19:41:59.033675693Z,11,2026-01-20T19:41:59.033675693Z,2,2026-01-20T19:41:59.413832819Z,true,2026-01-20T19:44:29.337581472Z
01KFEKRXWEGMF6AE6D9KHYXRS6,01KFEKHPGYTA3NV92JW708KDS3,2026-01-20T21:08:06.158980592Z,true,2026-01-20T21:10:25.34712123Z,01KFEKHXG0QSJ727TF9BK0CVWT,2026-01-20T21:08:06.158980592Z,7,2026-01-20T21:08:06.158980592Z,7,2026-01-20T21:08:06.158980592Z,2,2026-01-20T21:08:07.980356245Z,true,2026-01-20T21:10:19.775911087Z
01KFENA2EM3ACNGR3SBCWECFV9,01KFEKHQ6RN01KDJ4QSDZAWPPS,2026-01-20T21:34:56.468779348Z,true,2026-01-20T21:40:45.459899157Z,01KFEKHZ77YZ8G0WM899922VB5,2026-01-20T21:34:56.468779348Z,10,2026-01-20T21:34:56.468779348Z,10,2026-01-20T21:34:56.468779348Z,2,2026-01-20T21:35:00.089693377Z,true,2026-01-20T21:40:32.742161388Z
01KFEHPVKFK37PKBAAGX3F05FX,01KFEHA1EJWPRPNCXBTHCF12K2,2026-01-20T20:32:01.135674062Z,true,2026-01-20T20:33:56.959671263Z,01KFEHA1GRK7A014NXTNRF457G,2026-01-20T20:32:01.135674062Z,3,2026-01-20T20:32:01.135674062Z,3,2026-01-20T20:32:01.135674062Z,2,2026-01-20T20:32:01.312418151Z,true,2026-01-20T20:33:48.594197102Z
01KFEHWYV8HPKZZ6EXCMY9NHA5,01KFEHA1W0DBA89GCQ87GA4EG5,2026-01-20T20:35:21.064171199Z,true,2026-01-20T20:37:01.2458245Z,01KFEHA1ZSVYK8DGYZZSV53FQM,2026-01-20T20:35:21.064171199Z,3,2026-01-20T20:35:21.064171199Z,3,2026-01-20T20:35:21.064171199Z,2,2026-01-20T20:35:21.344613245Z,true,2026-01-20T20:36:47.976814489Z
01KFEHHR5BDKF64QG1B6XQZ0W1,01KFEHA20TFYVSSENV0N2723W5,2026-01-20T20:29:13.771818248Z,true,2026-01-20T20:30:42.060294203Z,01KFEHA25NESP3C46R1STZWY67,2026-01-20T20:29:13.771818248Z,7,2026-01-20T20:29:13.771818248Z,7,2026-01-20T20:29:13.771818248Z,2,2026-01-20T20:29:14.022194237Z,true,2026-01-20T20:30:37.901008972Z
