"id","actualPlayerCount","actualPlayerCountLastChangedAt","batchID","batchIDLastChangedAt","ended","endedLastChangedAt","endedReason","endedReasonLastChangedAt","groupID","groupIDLastChangedAt","lobbyTimerID","lobbyTimerIDLastChangedAt","roundIndex","roundIndexLastChangedAt","stageID","stageIDLastChangedAt","start","startLastChangedAt","starting","startingLastChangedAt","status","statusLastChangedAt","treatment","treatmentLastChangedAt","treatmentName","treatmentNameLastChangedAt"
"01KFEHA1GK3DQ7TRWFWA7J267H",2,"2026-01-20T20:27:55.751093036Z","01KFEHA1EJWPRPNCXBTHCF12K2","2026-01-20T20:25:01.203203408Z","true","2026-01-20T20:30:35.687288352Z","end of game","2026-01-20T20:30:35.707199604Z","01KFEHA1M0N2A086XYW23BJPZW","2026-01-20T20:25:01.315569718Z","01KFEHF8784NB280NY7DSD632Z","2026-01-20T20:27:51.918351474Z",12,"2026-01-20T20:27:55.80912755Z","null","2026-01-20T20:30:35.687288352Z","true","2026-01-20T20:27:55.751093036Z","true","2026-01-20T20:27:55.751093036Z","ended","2026-01-20T20:30:35.707199604Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:01.203203408Z","noCG_selfish","2026-01-20T20:25:01.203203408Z"
"01KFEHA1GRK7A014NXTNRF457G",2,"2026-01-20T20:32:01.055593481Z","01KFEHA1EJWPRPNCXBTHCF12K2","2026-01-20T20:25:01.208700613Z","true","2026-01-20T20:36:57.476374959Z","end of game","2026-01-20T20:36:57.505267326Z","01KFEHA1PFYYF70QWPRPFYHVQR","2026-01-20T20:25:01.39449721Z","01KFEHMXZ845M65XAW2EQSD5AE","2026-01-20T20:30:58.033918222Z",12,"2026-01-20T20:32:01.187301452Z","null","2026-01-20T20:36:57.476374959Z","true","2026-01-20T20:32:01.055593481Z","true","2026-01-20T20:32:01.055593481Z","ended","2026-01-20T20:36:57.505267326Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:25:01.208700613Z","noCG_cooperate","2026-01-20T20:25:01.208700613Z"
"01KFEDCC2JDADMPT5RVZQ93BA8",2,"2026-01-20T19:24:42.171578635Z","01KFEDCC1ZHDDN3CP9JWF4PGTF","2026-01-20T19:16:23.25082086Z","true","2026-01-20T19:27:14.064051553Z","end of game","2026-01-20T19:27:14.071647038Z","01KFEDCC5880M8XPBDB6EADF3K","2026-01-20T19:16:23.338722348Z","01KFEDVFK132WK6XVHB9V1X4SD","2026-01-20T19:24:38.373952033Z",12,"2026-01-20T19:24:42.206542453Z","null","2026-01-20T19:27:14.064051553Z","true","2026-01-20T19:24:42.171578635Z","true","2026-01-20T19:24:42.171578635Z","ended","2026-01-20T19:27:14.071647038Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T19:16:23.25082086Z","noCG_cooperate","2026-01-20T19:16:23.25082086Z"
"01KFEJ5D5EZSQZ1FHTABW8Z6HQ",2,"2026-01-20T21:03:56.970461969Z","01KFEJ5D47V2DPV4P7KW69CWA7","2026-01-20T20:39:57.870560881Z","true","2026-01-20T21:10:33.619854674Z","end of game","2026-01-20T21:10:33.762561197Z","01KFEJ5D8YPC3AZW0V6G6SRMDX","2026-01-20T20:39:57.986493922Z","01KFEK9XCJSJA2V8YSQCV3JDG7","2026-01-20T20:59:54.139909635Z",12,"2026-01-20T21:03:57.447606246Z","null","2026-01-20T21:10:33.619854674Z","true","2026-01-20T21:03:56.970461969Z","true","2026-01-20T21:03:56.970461969Z","ended","2026-01-20T21:10:33.762561197Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:39:57.870560881Z","CG_cooperate","2026-01-20T20:39:57.870560881Z"
"01KFEKHZKRT77TCYW9QR636P3H",2,"2026-01-20T21:31:46.970794698Z","01KFEKHQDC2K693XFM5ANS8DHE","2026-01-20T21:04:18.55290609Z","true","2026-01-20T21:37:26.079916151Z","end of game","2026-01-20T21:37:41.045539282Z","01KFEKJ89C5Q5XZZHG7S2FNW6F","2026-01-20T21:04:27.445829396Z","01KFEN459ESJM9EWKHV7KTM8EB","2026-01-20T21:31:42.779308161Z",12,"2026-01-20T21:31:48.655931547Z","null","2026-01-20T21:37:26.079916151Z","true","2026-01-20T21:31:46.970794698Z","true","2026-01-20T21:31:46.970794698Z","ended","2026-01-20T21:37:41.045539282Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.55290609Z","noCG_cooperate","2026-01-20T21:04:18.55290609Z"
"01KFEKHZBEEPDRHKRQPWCS3SGH",2,"2026-01-20T21:27:10.802587023Z","01KFEKHQ6RN01KDJ4QSDZAWPPS","2026-01-20T21:04:18.286258983Z","true","2026-01-20T21:34:53.669445523Z","end of game","2026-01-20T21:34:53.863934012Z","01KFEKJ7E9231XC86BVFXAB1RB","2026-01-20T21:04:26.580067641Z","01KFEMVCZP4H9Z7NJGQK5E9H8Y","2026-01-20T21:26:55.756578925Z",12,"2026-01-20T21:27:11.317969316Z","null","2026-01-20T21:34:53.669445523Z","true","2026-01-20T21:27:10.802587023Z","true","2026-01-20T21:27:10.802587023Z","ended","2026-01-20T21:34:53.863934012Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""CG"",""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.286258983Z","CG_selfish","2026-01-20T21:04:18.286258983Z"
"01KFEKHZ9SCZ02EGGWRNFEECG2",2,"2026-01-20T21:20:14.651135794Z","01KFEKHQ6RN01KDJ4QSDZAWPPS","2026-01-20T21:04:18.233995999Z","true","2026-01-20T21:26:23.263990937Z","end of game","2026-01-20T21:26:23.450959355Z","01KFEKJ7NFVX8MBH400CBGETGE","2026-01-20T21:04:26.804676816Z","01KFEMF0EA2YV80GJAYY394X0J","2026-01-20T21:20:09.695444373Z",12,"2026-01-20T21:20:15.672612909Z","null","2026-01-20T21:26:23.263990937Z","true","2026-01-20T21:20:14.651135794Z","true","2026-01-20T21:20:14.651135794Z","ended","2026-01-20T21:26:23.450959355Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:18.233995999Z","noCG_selfish","2026-01-20T21:04:18.233995999Z"
"01KFEJ5D6TNJMBKPJMAENEXHMP",2,"2026-01-20T21:04:17.317119404Z","01KFEJ5D47V2DPV4P7KW69CWA7","2026-01-20T20:39:57.914058096Z","true","2026-01-20T21:11:10.769300923Z","end of game","2026-01-20T21:11:10.945745028Z","01KFEJ5DG3DZ8WMTBGA7Y4AYX0","2026-01-20T20:39:58.215460669Z","01KFEKFS4H342R6RBM30X1HCBN","2026-01-20T21:03:06.394977569Z",12,"2026-01-20T21:04:22.578160213Z","null","2026-01-20T21:11:10.769300923Z","true","2026-01-20T21:04:17.317119404Z","true","2026-01-20T21:04:17.317119404Z","ended","2026-01-20T21:11:10.945745028Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T20:39:57.914058096Z","noCG_cooperate","2026-01-20T20:39:57.914058096Z"
"01KFEKPB2MD43HRXJ5S36AZP95",2,"2026-01-20T21:23:23.015426958Z","01KFEKP9631FDC5MHAJ7BGRGH7","2026-01-20T21:06:41.364955768Z","true","2026-01-20T21:30:28.418248179Z","end of game","2026-01-20T21:30:29.191289785Z","01KFEKPEGTGRQ6GQTZGNXHP14T","2026-01-20T21:06:44.899550173Z","01KFEMKD0AW2JS2X37DVZDPGZE","2026-01-20T21:22:33.620853061Z",12,"2026-01-20T21:23:23.667394339Z","null","2026-01-20T21:30:28.418248179Z","true","2026-01-20T21:23:23.015426958Z","true","2026-01-20T21:23:23.015426958Z","ended","2026-01-20T21:30:29.191289785Z","{""advice"":""Try to get the best outcome for yourself."",""adviceType"":""noCG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:06:41.364955768Z","noCG_selfish","2026-01-20T21:06:41.364955768Z"
"01KFEKHWZEPZZY95F2XW7M1MFP",2,"2026-01-20T21:07:06.775209878Z","01KFEKHPC1MSE3FJ7DBY2FGY2F","2026-01-20T21:04:15.85484562Z","true","2026-01-20T21:14:36.47576896Z","end of game","2026-01-20T21:14:36.571023008Z","01KFEKJ10FNWG8ADJDC0RMJF01","2026-01-20T21:04:19.994244927Z","01KFEKPAVJX6ED0K2BDM8FE5MR","2026-01-20T21:06:41.151047694Z",12,"2026-01-20T21:07:07.8247441Z","null","2026-01-20T21:14:36.47576896Z","true","2026-01-20T21:07:06.775209878Z","true","2026-01-20T21:07:06.775209878Z","ended","2026-01-20T21:14:36.571023008Z","{""advice"":""Try to find an outcome that's fair for both of you."",""adviceType"":""CG"",""chatEnabled"":false,""numRounds"":13,""playerCount"":2}","2026-01-20T21:04:15.85484562Z","CG_cooperate","2026-01-20T21:04:15.85484562Z"
